state_name,year,unauth_cms
Alabama,2010,89200.0
Alaska,2010,8900.0
Arizona,2010,299100.0
Arkansas,2010,61500.0
California,2010,2915700.0
Colorado,2010,177500.0
Connecticut,2010,116800.0
Delaware,2010,18500.0
Florida,2010,785800.0
Georgia,2010,396000.0
Hawaii,2010,38800.0
Idaho,2010,33000.0
Illinois,2010,593800.0
Indiana,2010,103200.0
Iowa,2010,45700.0
Kansas,2010,79700.0
Kentucky,2010,48800.0
Louisiana,2010,57200.0
Maine,2010,1800.0
Maryland,2010,237600.0
Massachusetts,2010,171000.0
Michigan,2010,97500.0
Minnesota,2010,96600.0
Mississippi,2010,25900.0
Missouri,2010,60000.0
Montana,2010,1000.0
Nebraska,2010,37100.0
Nevada,2010,185700.0
New Hampshire,2010,9800.0
New Jersey,2010,486900.0
New Mexico,2010,80800.0
New York,2010,916600.0
North Carolina,2010,334900.0
North Dakota,2010,800.0
Ohio,2010,93600.0
Oklahoma,2010,91900.0
Oregon,2010,129600.0
Pennsylvania,2010,151300.0
Rhode Island,2010,24300.0
South Carolina,2010,95800.0
South Dakota,2010,2900.0
Tennessee,2010,120400.0
Texas,2010,1718100.0
Utah,2010,91500.0
Vermont,2010,1500.0
Virginia,2010,251500.0
Washington,2010,240200.0
West Virginia,2010,2000.0
Wisconsin,2010,77600.0
Wyoming,2010,5200.0
Alabama,2011,72800.0
Alaska,2011,6000.0
Arizona,2011,276800.0
Arkansas,2011,54500.0
California,2011,2823900.0
Colorado,2011,181900.0
Connecticut,2011,115900.0
Delaware,2011,21600.0
Florida,2011,753500.0
Georgia,2011,354700.0
Hawaii,2011,40500.0
Idaho,2011,38900.0
Illinois,2011,546300.0
Indiana,2011,105900.0
Iowa,2011,42200.0
Kansas,2011,68700.0
Kentucky,2011,35200.0
Louisiana,2011,60700.0
Maine,2011,1100.0
Maryland,2011,236600.0
Massachusetts,2011,147500.0
Michigan,2011,94400.0
Minnesota,2011,88900.0
Mississippi,2011,25700.0
Missouri,2011,63000.0
Montana,2011,2700.0
Nebraska,2011,43000.0
Nevada,2011,183800.0
New Hampshire,2011,12400.0
New Jersey,2011,465800.0
New Mexico,2011,82700.0
New York,2011,864900.0
North Carolina,2011,320900.0
North Dakota,2011,
Ohio,2011,90400.0
Oklahoma,2011,84900.0
Oregon,2011,120800.0
Pennsylvania,2011,140600.0
Rhode Island,2011,27600.0
South Carolina,2011,87400.0
South Dakota,2011,7600.0
Tennessee,2011,117600.0
Texas,2011,1711700.0
Utah,2011,98800.0
Vermont,2011,2300.0
Virginia,2011,251800.0
Washington,2011,247800.0
West Virginia,2011,2400.0
Wisconsin,2011,68500.0
Wyoming,2011,6900.0
Alabama,2012,60300.0
Alaska,2012,9200.0
Arizona,2012,283100.0
Arkansas,2012,57200.0
California,2012,2763700.0
Colorado,2012,166700.0
Connecticut,2012,112000.0
Delaware,2012,21600.0
Florida,2012,725600.0
Georgia,2012,350600.0
Hawaii,2012,33800.0
Idaho,2012,35700.0
Illinois,2012,541100.0
Indiana,2012,101000.0
Iowa,2012,38400.0
Kansas,2012,72600.0
Kentucky,2012,31900.0
Louisiana,2012,50100.0
Maine,2012,4000.0
Maryland,2012,237400.0
Massachusetts,2012,144400.0
Michigan,2012,97000.0
Minnesota,2012,97500.0
Mississippi,2012,20300.0
Missouri,2012,56500.0
Montana,2012,700.0
Nebraska,2012,50900.0
Nevada,2012,184400.0
New Hampshire,2012,9400.0
New Jersey,2012,476300.0
New Mexico,2012,66800.0
New York,2012,854100.0
North Carolina,2012,342600.0
North Dakota,2012,2700.0
Ohio,2012,82000.0
Oklahoma,2012,91900.0
Oregon,2012,109100.0
Pennsylvania,2012,153900.0
Rhode Island,2012,32400.0
South Carolina,2012,85300.0
South Dakota,2012,3900.0
Tennessee,2012,104600.0
Texas,2012,1648800.0
Utah,2012,90600.0
Vermont,2012,2300.0
Virginia,2012,249000.0
Washington,2012,245400.0
West Virginia,2012,4000.0
Wisconsin,2012,83300.0
Wyoming,2012,5800.0
Alabama,2013,61100.0
Alaska,2013,3900.0
Arizona,2013,284500.0
Arkansas,2013,56600.0
California,2013,2667100.0
Colorado,2013,159900.0
Connecticut,2013,117300.0
Delaware,2013,20600.0
Florida,2013,703200.0
Georgia,2013,357000.0
Hawaii,2013,36100.0
Idaho,2013,35300.0
Illinois,2013,530500.0
Indiana,2013,100500.0
Iowa,2013,46000.0
Kansas,2013,73700.0
Kentucky,2013,44700.0
Louisiana,2013,57300.0
Maine,2013,2600.0
Maryland,2013,214200.0
Massachusetts,2013,140600.0
Michigan,2013,94500.0
Minnesota,2013,87400.0
Mississippi,2013,18800.0
Missouri,2013,52400.0
Montana,2013,1400.0
Nebraska,2013,39200.0
Nevada,2013,160900.0
New Hampshire,2013,6700.0
New Jersey,2013,477000.0
New Mexico,2013,80000.0
New York,2013,818900.0
North Carolina,2013,326400.0
North Dakota,2013,2900.0
Ohio,2013,91800.0
Oklahoma,2013,93000.0
Oregon,2013,127400.0
Pennsylvania,2013,150300.0
Rhode Island,2013,29500.0
South Carolina,2013,86000.0
South Dakota,2013,5700.0
Tennessee,2013,116200.0
Texas,2013,1725600.0
Utah,2013,81200.0
Vermont,2013,3000.0
Virginia,2013,260600.0
Washington,2013,253200.0
West Virginia,2013,3600.0
Wisconsin,2013,84700.0
Wyoming,2013,5000.0
Alabama,2014,59200.0
Alaska,2014,6900.0
Arizona,2014,277000.0
Arkansas,2014,65900.0
California,2014,2597600.0
Colorado,2014,178500.0
Connecticut,2014,113900.0
Delaware,2014,22100.0
Florida,2014,711200.0
Georgia,2014,345300.0
Hawaii,2014,35300.0
Idaho,2014,38500.0
Illinois,2014,454600.0
Indiana,2014,106300.0
Iowa,2014,37300.0
Kansas,2014,66900.0
Kentucky,2014,49200.0
Louisiana,2014,60100.0
Maine,2014,2400.0
Maryland,2014,232700.0
Massachusetts,2014,146700.0
Michigan,2014,108700.0
Minnesota,2014,94900.0
Mississippi,2014,22200.0
Missouri,2014,48900.0
Montana,2014,2500.0
Nebraska,2014,42400.0
Nevada,2014,180000.0
New Hampshire,2014,10500.0
New Jersey,2014,452100.0
New Mexico,2014,76300.0
New York,2014,817200.0
North Carolina,2014,322500.0
North Dakota,2014,3800.0
Ohio,2014,80100.0
Oklahoma,2014,95000.0
Oregon,2014,121200.0
Pennsylvania,2014,157800.0
Rhode Island,2014,28900.0
South Carolina,2014,83100.0
South Dakota,2014,3900.0
Tennessee,2014,116700.0
Texas,2014,1736900.0
Utah,2014,90900.0
Vermont,2014,1100.0
Virginia,2014,268900.0
Washington,2014,234100.0
West Virginia,2014,4200.0
Wisconsin,2014,70700.0
Wyoming,2014,8800.0
Alabama,2015,61900.0
Alaska,2015,7200.0
Arizona,2015,256300.0
Arkansas,2015,60200.0
California,2015,2598900.0
Colorado,2015,181700.0
Connecticut,2015,124700.0
Delaware,2015,26800.0
Florida,2015,745200.0
Georgia,2015,361400.0
Hawaii,2015,39900.0
Idaho,2015,33200.0
Illinois,2015,515700.0
Indiana,2015,99300.0
Iowa,2015,45600.0
Kansas,2015,78300.0
Kentucky,2015,45200.0
Louisiana,2015,62200.0
Maine,2015,1600.0
Maryland,2015,239800.0
Massachusetts,2015,154400.0
Michigan,2015,96200.0
Minnesota,2015,96900.0
Mississippi,2015,24300.0
Missouri,2015,54900.0
Montana,2015,2600.0
Nebraska,2015,38800.0
Nevada,2015,175900.0
New Hampshire,2015,11500.0
New Jersey,2015,450500.0
New Mexico,2015,73900.0
New York,2015,806400.0
North Carolina,2015,315400.0
North Dakota,2015,2200.0
Ohio,2015,86000.0
Oklahoma,2015,100900.0
Oregon,2015,117100.0
Pennsylvania,2015,162100.0
Rhode Island,2015,21600.0
South Carolina,2015,78800.0
South Dakota,2015,11800.0
Tennessee,2015,120200.0
Texas,2015,1758200.0
Utah,2015,94700.0
Vermont,2015,3800.0
Virginia,2015,247900.0
Washington,2015,246100.0
West Virginia,2015,1900.0
Wisconsin,2015,79200.0
Wyoming,2015,7700.0
Alabama,2016,56300.0
