off_eth,vic_eth,vic_band,off_band,rel,n
hispanic,hispanic,0-4,15-19,family,5
hispanic,hispanic,0-4,20-24,acquaintance,9
hispanic,hispanic,0-4,20-24,family,32
hispanic,hispanic,0-4,20-24,unknown,3
hispanic,hispanic,0-4,25-29,acquaintance,10
hispanic,hispanic,0-4,25-29,family,28
hispanic,hispanic,0-4,25-29,stranger,1
hispanic,hispanic,0-4,25-29,unknown,1
hispanic,hispanic,0-4,30-34,acquaintance,1
hispanic,hispanic,0-4,30-34,family,9
hispanic,hispanic,0-4,35-39,family,10
hispanic,hispanic,0-4,35-39,unknown,4
hispanic,hispanic,0-4,45-49,acquaintance,1
hispanic,hispanic,0-4,45-49,family,3
hispanic,hispanic,0-4,50-54,family,1
hispanic,hispanic,10-14,10-14,family,1
hispanic,hispanic,10-14,15-19,acquaintance,5
hispanic,hispanic,10-14,15-19,family,3
hispanic,hispanic,10-14,15-19,intimate,1
hispanic,hispanic,10-14,15-19,stranger,2
hispanic,hispanic,10-14,15-19,unknown,1
hispanic,hispanic,10-14,20-24,acquaintance,2
hispanic,hispanic,10-14,20-24,family,1
hispanic,hispanic,10-14,20-24,stranger,1
hispanic,hispanic,10-14,25-29,acquaintance,1
hispanic,hispanic,10-14,25-29,stranger,1
hispanic,hispanic,10-14,35-39,family,4
hispanic,hispanic,10-14,40-44,family,4
hispanic,hispanic,15-19,10-14,acquaintance,3
hispanic,hispanic,15-19,10-14,family,1
hispanic,hispanic,15-19,10-14,intimate,1
hispanic,hispanic,15-19,10-14,stranger,1
hispanic,hispanic,15-19,10-14,unknown,3
hispanic,hispanic,15-19,15-19,acquaintance,68
hispanic,hispanic,15-19,15-19,family,6
hispanic,hispanic,15-19,15-19,intimate,12
hispanic,hispanic,15-19,15-19,stranger,37
hispanic,hispanic,15-19,15-19,unknown,51
hispanic,hispanic,15-19,20-24,acquaintance,39
hispanic,hispanic,15-19,20-24,family,4
hispanic,hispanic,15-19,20-24,intimate,14
hispanic,hispanic,15-19,20-24,stranger,13
hispanic,hispanic,15-19,20-24,unknown,17
hispanic,hispanic,15-19,25-29,acquaintance,6
hispanic,hispanic,15-19,25-29,intimate,4
hispanic,hispanic,15-19,25-29,stranger,7
hispanic,hispanic,15-19,25-29,unknown,5
hispanic,hispanic,15-19,30-34,acquaintance,2
hispanic,hispanic,15-19,30-34,family,2
hispanic,hispanic,15-19,30-34,stranger,4
hispanic,hispanic,15-19,30-34,unknown,2
hispanic,hispanic,15-19,35-39,acquaintance,3
hispanic,hispanic,15-19,35-39,family,2
hispanic,hispanic,15-19,35-39,intimate,1
hispanic,hispanic,15-19,35-39,stranger,1
hispanic,hispanic,15-19,35-39,unknown,1
hispanic,hispanic,15-19,40-44,acquaintance,4
hispanic,hispanic,15-19,40-44,intimate,1
hispanic,hispanic,15-19,40-44,unknown,1
hispanic,hispanic,15-19,45-49,family,1
hispanic,hispanic,15-19,45-49,stranger,2
hispanic,hispanic,15-19,50-54,acquaintance,2
hispanic,hispanic,15-19,60-64,stranger,1
hispanic,hispanic,15-19,60-64,unknown,1
hispanic,hispanic,15-19,70-74,acquaintance,1
hispanic,hispanic,15-19,unknown,acquaintance,2
hispanic,hispanic,15-19,unknown,unknown,8
hispanic,hispanic,20-24,10-14,family,1
hispanic,hispanic,20-24,15-19,acquaintance,30
hispanic,hispanic,20-24,15-19,family,12
hispanic,hispanic,20-24,15-19,intimate,3
hispanic,hispanic,20-24,15-19,stranger,20
hispanic,hispanic,20-24,15-19,unknown,23
hispanic,hispanic,20-24,20-24,acquaintance,68
hispanic,hispanic,20-24,20-24,family,8
hispanic,hispanic,20-24,20-24,intimate,41
hispanic,hispanic,20-24,20-24,stranger,27
hispanic,hispanic,20-24,20-24,unknown,24
hispanic,hispanic,20-24,25-29,acquaintance,42
hispanic,hispanic,20-24,25-29,family,6
hispanic,hispanic,20-24,25-29,intimate,11
hispanic,hispanic,20-24,25-29,stranger,19
hispanic,hispanic,20-24,25-29,unknown,18
hispanic,hispanic,20-24,30-34,acquaintance,16
hispanic,hispanic,20-24,30-34,family,1
hispanic,hispanic,20-24,30-34,intimate,6
hispanic,hispanic,20-24,30-34,stranger,8
hispanic,hispanic,20-24,30-34,unknown,9
hispanic,hispanic,20-24,35-39,acquaintance,6
hispanic,hispanic,20-24,35-39,family,2
hispanic,hispanic,20-24,35-39,intimate,4
hispanic,hispanic,20-24,35-39,stranger,6
hispanic,hispanic,20-24,35-39,unknown,5
hispanic,hispanic,20-24,40-44,acquaintance,3
hispanic,hispanic,20-24,40-44,family,6
hispanic,hispanic,20-24,40-44,intimate,4
hispanic,hispanic,20-24,40-44,stranger,3
hispanic,hispanic,20-24,40-44,unknown,2
hispanic,hispanic,20-24,45-49,acquaintance,2
hispanic,hispanic,20-24,45-49,family,2
hispanic,hispanic,20-24,45-49,intimate,1
hispanic,hispanic,20-24,45-49,stranger,1
hispanic,hispanic,20-24,50-54,acquaintance,1
hispanic,hispanic,20-24,50-54,family,1
hispanic,hispanic,20-24,50-54,intimate,1
hispanic,hispanic,20-24,50-54,stranger,1
hispanic,hispanic,20-24,55-59,family,1
hispanic,hispanic,20-24,55-59,stranger,3
hispanic,hispanic,20-24,unknown,acquaintance,2
hispanic,hispanic,20-24,unknown,stranger,4
hispanic,hispanic,20-24,unknown,unknown,6
hispanic,hispanic,25-29,10-14,acquaintance,1
hispanic,hispanic,25-29,10-14,stranger,1
hispanic,hispanic,25-29,15-19,acquaintance,16
hispanic,hispanic,25-29,15-19,family,3
hispanic,hispanic,25-29,15-19,stranger,15
hispanic,hispanic,25-29,15-19,unknown,14
hispanic,hispanic,25-29,20-24,acquaintance,42
hispanic,hispanic,25-29,20-24,family,10
hispanic,hispanic,25-29,20-24,intimate,10
hispanic,hispanic,25-29,20-24,stranger,30
hispanic,hispanic,25-29,20-24,unknown,29
hispanic,hispanic,25-29,25-29,acquaintance,44
hispanic,hispanic,25-29,25-29,family,10
hispanic,hispanic,25-29,25-29,intimate,37
hispanic,hispanic,25-29,25-29,stranger,23
hispanic,hispanic,25-29,25-29,unknown,21
hispanic,hispanic,25-29,30-34,acquaintance,20
hispanic,hispanic,25-29,30-34,family,4
hispanic,hispanic,25-29,30-34,intimate,18
hispanic,hispanic,25-29,30-34,stranger,19
hispanic,hispanic,25-29,30-34,unknown,19
hispanic,hispanic,25-29,35-39,acquaintance,18
hispanic,hispanic,25-29,35-39,family,1
hispanic,hispanic,25-29,35-39,intimate,11
hispanic,hispanic,25-29,35-39,stranger,12
hispanic,hispanic,25-29,35-39,unknown,12
hispanic,hispanic,25-29,40-44,acquaintance,9
hispanic,hispanic,25-29,40-44,family,2
hispanic,hispanic,25-29,40-44,intimate,5
hispanic,hispanic,25-29,40-44,stranger,7
hispanic,hispanic,25-29,45-49,acquaintance,3
hispanic,hispanic,25-29,45-49,family,2
hispanic,hispanic,25-29,45-49,intimate,4
hispanic,hispanic,25-29,45-49,stranger,3
hispanic,hispanic,25-29,45-49,unknown,1
hispanic,hispanic,25-29,50-54,acquaintance,1
hispanic,hispanic,25-29,50-54,family,2
hispanic,hispanic,25-29,50-54,stranger,1
hispanic,hispanic,25-29,50-54,unknown,1
hispanic,hispanic,25-29,55-59,acquaintance,2
hispanic,hispanic,25-29,55-59,stranger,1
hispanic,hispanic,25-29,55-59,unknown,1
hispanic,hispanic,25-29,60-64,acquaintance,1
hispanic,hispanic,25-29,60-64,stranger,1
hispanic,hispanic,25-29,60-64,unknown,1
hispanic,hispanic,25-29,65-69,acquaintance,1
hispanic,hispanic,25-29,65-69,stranger,1
hispanic,hispanic,25-29,65-69,unknown,2
hispanic,hispanic,25-29,70-74,unknown,1
hispanic,hispanic,25-29,75-79,acquaintance,1
hispanic,hispanic,25-29,unknown,stranger,3
hispanic,hispanic,25-29,unknown,unknown,6
hispanic,hispanic,30-34,10-14,family,1
hispanic,hispanic,30-34,10-14,stranger,1
hispanic,hispanic,30-34,15-19,acquaintance,11
hispanic,hispanic,30-34,15-19,family,7
hispanic,hispanic,30-34,15-19,intimate,1
hispanic,hispanic,30-34,15-19,stranger,9
hispanic,hispanic,30-34,15-19,unknown,13
hispanic,hispanic,30-34,20-24,acquaintance,30
hispanic,hispanic,30-34,20-24,family,6
hispanic,hispanic,30-34,20-24,intimate,2
hispanic,hispanic,30-34,20-24,stranger,18
hispanic,hispanic,30-34,20-24,unknown,19
hispanic,hispanic,30-34,25-29,acquaintance,50
hispanic,hispanic,30-34,25-29,family,5
hispanic,hispanic,30-34,25-29,intimate,9
hispanic,hispanic,30-34,25-29,stranger,18
hispanic,hispanic,30-34,25-29,unknown,21
hispanic,hispanic,30-34,30-34,acquaintance,40
hispanic,hispanic,30-34,30-34,family,5
hispanic,hispanic,30-34,30-34,intimate,30
hispanic,hispanic,30-34,30-34,stranger,10
hispanic,hispanic,30-34,30-34,unknown,17
hispanic,hispanic,30-34,35-39,acquaintance,32
hispanic,hispanic,30-34,35-39,family,3
hispanic,hispanic,30-34,35-39,intimate,25
hispanic,hispanic,30-34,35-39,stranger,12
hispanic,hispanic,30-34,35-39,unknown,12
hispanic,hispanic,30-34,40-44,acquaintance,14
hispanic,hispanic,30-34,40-44,family,3
hispanic,hispanic,30-34,40-44,intimate,14
hispanic,hispanic,30-34,40-44,stranger,3
hispanic,hispanic,30-34,40-44,unknown,10
hispanic,hispanic,30-34,45-49,acquaintance,8
hispanic,hispanic,30-34,45-49,family,2
hispanic,hispanic,30-34,45-49,intimate,6
hispanic,hispanic,30-34,45-49,stranger,2
hispanic,hispanic,30-34,45-49,unknown,6
hispanic,hispanic,30-34,50-54,acquaintance,3
hispanic,hispanic,30-34,50-54,family,1
hispanic,hispanic,30-34,50-54,intimate,3
hispanic,hispanic,30-34,50-54,stranger,1
hispanic,hispanic,30-34,50-54,unknown,1
hispanic,hispanic,30-34,55-59,acquaintance,2
hispanic,hispanic,30-34,55-59,family,2
hispanic,hispanic,30-34,55-59,stranger,2
hispanic,hispanic,30-34,60-64,family,2
hispanic,hispanic,30-34,unknown,acquaintance,1
hispanic,hispanic,30-34,unknown,stranger,4
hispanic,hispanic,30-34,unknown,unknown,9
hispanic,hispanic,35-39,10-14,family,1
hispanic,hispanic,35-39,10-14,stranger,1
hispanic,hispanic,35-39,15-19,acquaintance,5
hispanic,hispanic,35-39,15-19,family,3
hispanic,hispanic,35-39,15-19,stranger,9
hispanic,hispanic,35-39,15-19,unknown,7
hispanic,hispanic,35-39,20-24,acquaintance,17
hispanic,hispanic,35-39,20-24,family,5
hispanic,hispanic,35-39,20-24,intimate,2
hispanic,hispanic,35-39,20-24,stranger,13
hispanic,hispanic,35-39,20-24,unknown,12
hispanic,hispanic,35-39,25-29,acquaintance,28
hispanic,hispanic,35-39,25-29,family,8
hispanic,hispanic,35-39,25-29,intimate,11
hispanic,hispanic,35-39,25-29,stranger,16
hispanic,hispanic,35-39,25-29,unknown,10
hispanic,hispanic,35-39,30-34,acquaintance,29
hispanic,hispanic,35-39,30-34,family,7
hispanic,hispanic,35-39,30-34,intimate,13
hispanic,hispanic,35-39,30-34,stranger,13
hispanic,hispanic,35-39,30-34,unknown,13
hispanic,hispanic,35-39,35-39,acquaintance,31
hispanic,hispanic,35-39,35-39,family,4
hispanic,hispanic,35-39,35-39,intimate,26
hispanic,hispanic,35-39,35-39,stranger,5
hispanic,hispanic,35-39,35-39,unknown,14
hispanic,hispanic,35-39,40-44,acquaintance,19
hispanic,hispanic,35-39,40-44,family,2
hispanic,hispanic,35-39,40-44,intimate,17
hispanic,hispanic,35-39,40-44,stranger,7
hispanic,hispanic,35-39,40-44,unknown,4
hispanic,hispanic,35-39,45-49,acquaintance,14
hispanic,hispanic,35-39,45-49,family,2
hispanic,hispanic,35-39,45-49,intimate,9
hispanic,hispanic,35-39,45-49,stranger,5
hispanic,hispanic,35-39,45-49,unknown,5
hispanic,hispanic,35-39,50-54,acquaintance,1
hispanic,hispanic,35-39,50-54,family,2
hispanic,hispanic,35-39,50-54,intimate,2
hispanic,hispanic,35-39,50-54,stranger,3
hispanic,hispanic,35-39,50-54,unknown,1
hispanic,hispanic,35-39,55-59,acquaintance,3
hispanic,hispanic,35-39,55-59,family,2
hispanic,hispanic,35-39,55-59,intimate,1
hispanic,hispanic,35-39,55-59,stranger,1
hispanic,hispanic,35-39,60-64,intimate,1
hispanic,hispanic,35-39,65-69,acquaintance,1
hispanic,hispanic,35-39,65-69,family,1
hispanic,hispanic,35-39,70-74,acquaintance,1
hispanic,hispanic,35-39,unknown,acquaintance,2
hispanic,hispanic,35-39,unknown,intimate,1
hispanic,hispanic,35-39,unknown,stranger,2
hispanic,hispanic,35-39,unknown,unknown,4
hispanic,hispanic,40-44,10-14,family,1
hispanic,hispanic,40-44,10-14,unknown,1
hispanic,hispanic,40-44,15-19,acquaintance,5
hispanic,hispanic,40-44,15-19,family,7
hispanic,hispanic,40-44,15-19,stranger,6
hispanic,hispanic,40-44,15-19,unknown,9
hispanic,hispanic,40-44,20-24,acquaintance,18
hispanic,hispanic,40-44,20-24,family,9
hispanic,hispanic,40-44,20-24,intimate,2
hispanic,hispanic,40-44,20-24,stranger,7
hispanic,hispanic,40-44,20-24,unknown,8
hispanic,hispanic,40-44,25-29,acquaintance,12
hispanic,hispanic,40-44,25-29,family,5
hispanic,hispanic,40-44,25-29,intimate,2
hispanic,hispanic,40-44,25-29,stranger,7
hispanic,hispanic,40-44,25-29,unknown,11
hispanic,hispanic,40-44,30-34,acquaintance,15
hispanic,hispanic,40-44,30-34,family,4
hispanic,hispanic,40-44,30-34,intimate,4
hispanic,hispanic,40-44,30-34,stranger,5
hispanic,hispanic,40-44,30-34,unknown,13
hispanic,hispanic,40-44,35-39,acquaintance,18
hispanic,hispanic,40-44,35-39,family,6
hispanic,hispanic,40-44,35-39,intimate,10
hispanic,hispanic,40-44,35-39,stranger,7
hispanic,hispanic,40-44,35-39,unknown,5
hispanic,hispanic,40-44,40-44,acquaintance,24
hispanic,hispanic,40-44,40-44,family,2
hispanic,hispanic,40-44,40-44,intimate,19
hispanic,hispanic,40-44,40-44,stranger,4
hispanic,hispanic,40-44,40-44,unknown,5
hispanic,hispanic,40-44,45-49,acquaintance,8
hispanic,hispanic,40-44,45-49,family,2
hispanic,hispanic,40-44,45-49,intimate,15
hispanic,hispanic,40-44,45-49,stranger,4
hispanic,hispanic,40-44,45-49,unknown,3
hispanic,hispanic,40-44,50-54,acquaintance,5
hispanic,hispanic,40-44,50-54,intimate,6
hispanic,hispanic,40-44,50-54,unknown,3
hispanic,hispanic,40-44,55-59,acquaintance,2
hispanic,hispanic,40-44,55-59,intimate,6
hispanic,hispanic,40-44,60-64,acquaintance,3
hispanic,hispanic,40-44,60-64,family,1
hispanic,hispanic,40-44,60-64,intimate,1
hispanic,hispanic,40-44,60-64,stranger,1
hispanic,hispanic,40-44,65-69,acquaintance,2
hispanic,hispanic,40-44,65-69,stranger,1
hispanic,hispanic,40-44,70-74,intimate,1
hispanic,hispanic,40-44,unknown,acquaintance,1
hispanic,hispanic,40-44,unknown,stranger,2
hispanic,hispanic,40-44,unknown,unknown,8
hispanic,hispanic,45-49,10-14,acquaintance,1
hispanic,hispanic,45-49,10-14,unknown,1
hispanic,hispanic,45-49,15-19,acquaintance,6
hispanic,hispanic,45-49,15-19,family,6
hispanic,hispanic,45-49,15-19,stranger,5
hispanic,hispanic,45-49,15-19,unknown,2
hispanic,hispanic,45-49,20-24,acquaintance,11
hispanic,hispanic,45-49,20-24,family,6
hispanic,hispanic,45-49,20-24,intimate,2
hispanic,hispanic,45-49,20-24,stranger,4
hispanic,hispanic,45-49,20-24,unknown,5
hispanic,hispanic,45-49,25-29,acquaintance,9
hispanic,hispanic,45-49,25-29,family,8
hispanic,hispanic,45-49,25-29,intimate,1
hispanic,hispanic,45-49,25-29,stranger,8
hispanic,hispanic,45-49,25-29,unknown,3
hispanic,hispanic,45-49,30-34,acquaintance,13
hispanic,hispanic,45-49,30-34,family,5
hispanic,hispanic,45-49,30-34,intimate,3
hispanic,hispanic,45-49,30-34,stranger,8
hispanic,hispanic,45-49,30-34,unknown,4
hispanic,hispanic,45-49,35-39,acquaintance,6
hispanic,hispanic,45-49,35-39,family,1
hispanic,hispanic,45-49,35-39,intimate,7
hispanic,hispanic,45-49,35-39,stranger,3
hispanic,hispanic,45-49,35-39,unknown,14
hispanic,hispanic,45-49,40-44,acquaintance,10
hispanic,hispanic,45-49,40-44,family,3
hispanic,hispanic,45-49,40-44,intimate,4
hispanic,hispanic,45-49,40-44,stranger,5
hispanic,hispanic,45-49,40-44,unknown,1
hispanic,hispanic,45-49,45-49,acquaintance,9
hispanic,hispanic,45-49,45-49,family,2
hispanic,hispanic,45-49,45-49,intimate,19
hispanic,hispanic,45-49,45-49,stranger,2
hispanic,hispanic,45-49,45-49,unknown,2
hispanic,hispanic,45-49,50-54,acquaintance,4
hispanic,hispanic,45-49,50-54,family,1
hispanic,hispanic,45-49,50-54,intimate,11
hispanic,hispanic,45-49,50-54,stranger,3
hispanic,hispanic,45-49,50-54,unknown,2
hispanic,hispanic,45-49,55-59,family,1
hispanic,hispanic,45-49,55-59,intimate,1
hispanic,hispanic,45-49,55-59,stranger,1
hispanic,hispanic,45-49,55-59,unknown,1
hispanic,hispanic,45-49,60-64,acquaintance,1
hispanic,hispanic,45-49,60-64,intimate,2
hispanic,hispanic,45-49,60-64,stranger,1
hispanic,hispanic,45-49,60-64,unknown,1
hispanic,hispanic,45-49,70-74,acquaintance,1
hispanic,hispanic,45-49,70-74,family,1
hispanic,hispanic,45-49,70-74,stranger,1
hispanic,hispanic,45-49,unknown,stranger,1
hispanic,hispanic,45-49,unknown,unknown,3
hispanic,hispanic,5-9,15-19,family,1
hispanic,hispanic,5-9,20-24,unknown,1
hispanic,hispanic,5-9,25-29,family,1
hispanic,hispanic,5-9,30-34,family,5
hispanic,hispanic,5-9,35-39,acquaintance,1
hispanic,hispanic,5-9,35-39,family,2
hispanic,hispanic,5-9,40-44,family,3
hispanic,hispanic,5-9,45-49,family,1
hispanic,hispanic,5-9,45-49,unknown,1
hispanic,hispanic,50-54,15-19,acquaintance,3
hispanic,hispanic,50-54,15-19,family,5
hispanic,hispanic,50-54,15-19,stranger,4
hispanic,hispanic,50-54,15-19,unknown,5
hispanic,hispanic,50-54,20-24,acquaintance,6
hispanic,hispanic,50-54,20-24,family,8
hispanic,hispanic,50-54,20-24,stranger,2
hispanic,hispanic,50-54,20-24,unknown,7
hispanic,hispanic,50-54,25-29,acquaintance,7
hispanic,hispanic,50-54,25-29,family,4
hispanic,hispanic,50-54,25-29,intimate,2
hispanic,hispanic,50-54,25-29,stranger,4
hispanic,hispanic,50-54,25-29,unknown,4
hispanic,hispanic,50-54,30-34,acquaintance,8
hispanic,hispanic,50-54,30-34,family,9
hispanic,hispanic,50-54,30-34,intimate,1
hispanic,hispanic,50-54,30-34,stranger,2
hispanic,hispanic,50-54,30-34,unknown,5
hispanic,hispanic,50-54,35-39,acquaintance,7
hispanic,hispanic,50-54,35-39,family,1
hispanic,hispanic,50-54,35-39,intimate,5
hispanic,hispanic,50-54,35-39,stranger,2
hispanic,hispanic,50-54,35-39,unknown,3
hispanic,hispanic,50-54,40-44,acquaintance,6
hispanic,hispanic,50-54,40-44,family,1
hispanic,hispanic,50-54,40-44,intimate,1
hispanic,hispanic,50-54,40-44,stranger,2
hispanic,hispanic,50-54,40-44,unknown,2
hispanic,hispanic,50-54,45-49,acquaintance,2
hispanic,hispanic,50-54,45-49,intimate,9
hispanic,hispanic,50-54,45-49,stranger,4
hispanic,hispanic,50-54,45-49,unknown,2
hispanic,hispanic,50-54,50-54,acquaintance,4
hispanic,hispanic,50-54,50-54,intimate,10
hispanic,hispanic,50-54,50-54,stranger,1
hispanic,hispanic,50-54,50-54,unknown,2
hispanic,hispanic,50-54,55-59,acquaintance,1
hispanic,hispanic,50-54,55-59,family,2
hispanic,hispanic,50-54,55-59,intimate,7
hispanic,hispanic,50-54,55-59,stranger,1
hispanic,hispanic,50-54,55-59,unknown,1
hispanic,hispanic,50-54,60-64,acquaintance,3
hispanic,hispanic,50-54,60-64,intimate,1
hispanic,hispanic,50-54,60-64,stranger,1
hispanic,hispanic,50-54,60-64,unknown,1
hispanic,hispanic,50-54,65-69,acquaintance,1
hispanic,hispanic,50-54,65-69,family,1
hispanic,hispanic,50-54,70-74,family,1
hispanic,hispanic,50-54,70-74,intimate,2
hispanic,hispanic,50-54,70-74,stranger,1
hispanic,hispanic,50-54,unknown,stranger,1
hispanic,hispanic,50-54,unknown,unknown,2
hispanic,hispanic,55-59,15-19,acquaintance,3
hispanic,hispanic,55-59,15-19,stranger,2
hispanic,hispanic,55-59,15-19,unknown,1
hispanic,hispanic,55-59,20-24,acquaintance,5
hispanic,hispanic,55-59,20-24,family,3
hispanic,hispanic,55-59,20-24,stranger,4
hispanic,hispanic,55-59,20-24,unknown,5
hispanic,hispanic,55-59,25-29,acquaintance,4
hispanic,hispanic,55-59,25-29,family,10
hispanic,hispanic,55-59,25-29,intimate,1
hispanic,hispanic,55-59,25-29,stranger,4
hispanic,hispanic,55-59,25-29,unknown,2
hispanic,hispanic,55-59,30-34,acquaintance,4
hispanic,hispanic,55-59,30-34,family,7
hispanic,hispanic,55-59,30-34,stranger,2
hispanic,hispanic,55-59,30-34,unknown,3
hispanic,hispanic,55-59,35-39,acquaintance,5
hispanic,hispanic,55-59,35-39,family,3
hispanic,hispanic,55-59,35-39,intimate,1
hispanic,hispanic,55-59,35-39,stranger,4
hispanic,hispanic,55-59,35-39,unknown,3
hispanic,hispanic,55-59,40-44,acquaintance,5
hispanic,hispanic,55-59,40-44,family,1
hispanic,hispanic,55-59,40-44,stranger,1
hispanic,hispanic,55-59,40-44,unknown,2
hispanic,hispanic,55-59,45-49,acquaintance,6
hispanic,hispanic,55-59,45-49,family,3
hispanic,hispanic,55-59,45-49,intimate,3
hispanic,hispanic,55-59,45-49,stranger,1
hispanic,hispanic,55-59,45-49,unknown,2
hispanic,hispanic,55-59,50-54,acquaintance,4
hispanic,hispanic,55-59,50-54,intimate,4
hispanic,hispanic,55-59,50-54,stranger,1
hispanic,hispanic,55-59,50-54,unknown,1
hispanic,hispanic,55-59,55-59,acquaintance,2
hispanic,hispanic,55-59,55-59,intimate,3
hispanic,hispanic,55-59,55-59,unknown,1
hispanic,hispanic,55-59,60-64,acquaintance,1
hispanic,hispanic,55-59,60-64,intimate,4
hispanic,hispanic,55-59,65-69,acquaintance,1
hispanic,hispanic,55-59,65-69,intimate,1
hispanic,hispanic,55-59,70-74,intimate,1
hispanic,hispanic,55-59,75-79,intimate,1
hispanic,hispanic,55-59,80-84,acquaintance,1
hispanic,hispanic,55-59,85+,family,1
hispanic,hispanic,55-59,unknown,stranger,1
hispanic,hispanic,55-59,unknown,unknown,1
hispanic,hispanic,60-64,15-19,acquaintance,1
hispanic,hispanic,60-64,15-19,family,3
hispanic,hispanic,60-64,15-19,unknown,3
hispanic,hispanic,60-64,20-24,acquaintance,3
hispanic,hispanic,60-64,20-24,family,6
hispanic,hispanic,60-64,20-24,stranger,2
hispanic,hispanic,60-64,25-29,acquaintance,4
hispanic,hispanic,60-64,25-29,family,6
hispanic,hispanic,60-64,25-29,stranger,1
hispanic,hispanic,60-64,25-29,unknown,1
hispanic,hispanic,60-64,30-34,acquaintance,5
hispanic,hispanic,60-64,30-34,family,8
hispanic,hispanic,60-64,30-34,stranger,3
hispanic,hispanic,60-64,30-34,unknown,2
hispanic,hispanic,60-64,35-39,acquaintance,4
hispanic,hispanic,60-64,35-39,family,5
hispanic,hispanic,60-64,35-39,stranger,2
hispanic,hispanic,60-64,40-44,acquaintance,4
hispanic,hispanic,60-64,40-44,family,2
hispanic,hispanic,60-64,40-44,intimate,1
hispanic,hispanic,60-64,40-44,stranger,1
hispanic,hispanic,60-64,40-44,unknown,1
hispanic,hispanic,60-64,45-49,acquaintance,2
hispanic,hispanic,60-64,45-49,stranger,2
hispanic,hispanic,60-64,50-54,family,1
hispanic,hispanic,60-64,50-54,intimate,3
hispanic,hispanic,60-64,50-54,stranger,2
hispanic,hispanic,60-64,55-59,acquaintance,1
hispanic,hispanic,60-64,55-59,family,1
hispanic,hispanic,60-64,55-59,intimate,1
hispanic,hispanic,60-64,60-64,acquaintance,3
hispanic,hispanic,60-64,60-64,family,1
hispanic,hispanic,60-64,60-64,intimate,2
hispanic,hispanic,60-64,65-69,intimate,3
hispanic,hispanic,60-64,70-74,acquaintance,1
hispanic,hispanic,60-64,85+,family,1
hispanic,hispanic,60-64,unknown,stranger,1
hispanic,hispanic,65-69,15-19,acquaintance,2
hispanic,hispanic,65-69,15-19,stranger,2
hispanic,hispanic,65-69,15-19,unknown,1
hispanic,hispanic,65-69,20-24,acquaintance,3
hispanic,hispanic,65-69,20-24,family,1
hispanic,hispanic,65-69,20-24,unknown,3
hispanic,hispanic,65-69,25-29,acquaintance,2
hispanic,hispanic,65-69,25-29,family,2
hispanic,hispanic,65-69,25-29,intimate,1
hispanic,hispanic,65-69,25-29,stranger,3
hispanic,hispanic,65-69,25-29,unknown,2
hispanic,hispanic,65-69,30-34,family,7
hispanic,hispanic,65-69,30-34,unknown,1
hispanic,hispanic,65-69,35-39,acquaintance,2
hispanic,hispanic,65-69,35-39,family,2
hispanic,hispanic,65-69,35-39,stranger,2
hispanic,hispanic,65-69,35-39,unknown,2
hispanic,hispanic,65-69,40-44,acquaintance,1
hispanic,hispanic,65-69,40-44,family,6
hispanic,hispanic,65-69,40-44,unknown,1
hispanic,hispanic,65-69,45-49,acquaintance,4
hispanic,hispanic,65-69,50-54,acquaintance,1
hispanic,hispanic,65-69,50-54,stranger,1
hispanic,hispanic,65-69,50-54,unknown,2
hispanic,hispanic,65-69,55-59,acquaintance,2
hispanic,hispanic,65-69,55-59,unknown,1
hispanic,hispanic,65-69,60-64,intimate,1
hispanic,hispanic,65-69,65-69,intimate,1
hispanic,hispanic,65-69,70-74,acquaintance,2
hispanic,hispanic,65-69,75-79,acquaintance,1
hispanic,hispanic,65-69,unknown,unknown,1
hispanic,hispanic,70-74,20-24,acquaintance,2
hispanic,hispanic,70-74,20-24,family,2
hispanic,hispanic,70-74,20-24,unknown,1
hispanic,hispanic,70-74,25-29,acquaintance,3
hispanic,hispanic,70-74,25-29,family,2
hispanic,hispanic,70-74,30-34,acquaintance,1
hispanic,hispanic,70-74,30-34,family,5
hispanic,hispanic,70-74,30-34,unknown,1
hispanic,hispanic,70-74,35-39,acquaintance,1
hispanic,hispanic,70-74,35-39,family,3
hispanic,hispanic,70-74,40-44,acquaintance,2
hispanic,hispanic,70-74,40-44,family,2
hispanic,hispanic,70-74,45-49,stranger,1
hispanic,hispanic,70-74,50-54,family,1
hispanic,hispanic,70-74,55-59,family,1
hispanic,hispanic,70-74,60-64,family,1
hispanic,hispanic,70-74,60-64,unknown,1
hispanic,hispanic,70-74,65-69,family,1
hispanic,hispanic,70-74,70-74,intimate,2
hispanic,hispanic,75-79,20-24,acquaintance,1
hispanic,hispanic,75-79,20-24,family,1
hispanic,hispanic,75-79,25-29,family,5
hispanic,hispanic,75-79,30-34,family,3
hispanic,hispanic,75-79,30-34,stranger,1
hispanic,hispanic,75-79,35-39,stranger,2
hispanic,hispanic,75-79,45-49,family,2
hispanic,hispanic,75-79,45-49,unknown,1
hispanic,hispanic,75-79,65-69,acquaintance,1
hispanic,hispanic,75-79,65-69,intimate,1
hispanic,hispanic,75-79,70-74,intimate,1
hispanic,hispanic,80-84,15-19,family,1
hispanic,hispanic,80-84,25-29,family,3
hispanic,hispanic,80-84,25-29,stranger,1
hispanic,hispanic,80-84,30-34,unknown,1
hispanic,hispanic,80-84,35-39,acquaintance,1
