domain,outcome,units,usable,g1,g1_se,g2,g3,a_g1_g2,a_g2_g3,a_g1_g3,a_g1_g3_gen25,a_g1_g3_gen33,tag,source,note
earnings,"CPS total personal income, common age",$ per standardized person,yes,-29212.688746,nan,-16832.152904,-16405.581607,0.019011,0.000885,0.009948,0.011540,0.008742,SOURCE,infra/immigration-fiscal/acs_earnings_replication_2026_09_17/derived/cps_gaps.csv,reference third-plus NH white; replicate-variance SEs in the file
earnings,"CPS wage and salary, common age",$ per standardized person,yes,-17545.522755,nan,-9980.485137,-8993.001434,0.019454,0.003593,0.011523,0.013367,0.010127,SOURCE,infra/immigration-fiscal/acs_earnings_replication_2026_09_17/derived/cps_gaps.csv,reference third-plus NH white; replicate-variance SEs in the file
earnings,"mean earnings, adults 25-64",share of white-native level,yes,0.476968,nan,0.293011,0.255112,0.016801,0.004776,0.010789,0.012515,0.009481,CALCULATION,research/immigration-mexican-origin-by-generation-2026-09-16.md:24,1 - group/white from the memo row; white level 70424; unconditional
earnings,"median earnings, workers 25-64",share of white-native level,yes,0.406250,nan,0.240625,0.187500,0.018060,0.008602,0.013331,0.015464,0.011715,CALCULATION,research/immigration-mexican-origin-by-generation-2026-09-16.md:23,1 - group/white from the memo row; white level 64000; unconditional
fiscal,"ledger balance, common age (all_age_shared)",$ per standardized person per year,yes,-6561.711620,nan,-5943.399391,-4622.449839,0.003413,0.008667,0.006040,0.007007,0.005308,SOURCE,infra/immigration-fiscal/all_age_ledger_2026_09_17/derived/estimates.csv,"all ages, age-only standard (ladder 125 'common age')"
fiscal,"ledger balance, common age (personal_sources)",$ per standardized person per year,yes,-6887.703950,nan,-5277.591776,-4571.025683,0.009182,0.004956,0.007069,0.008200,0.006212,SOURCE,infra/immigration-fiscal/all_age_ledger_2026_09_17/derived/estimates.csv,"all ages, age-only standard (ladder 125 'common age')"
fiscal,"ledger balance, common age and place (all_age_shared)",$ per standardized person per year,yes,-5664.012220,nan,-6772.128134,-5210.714920,-0.006161,0.009038,0.001438,0.001668,0.001264,SOURCE,infra/immigration-fiscal/ledger_stress_2026_09_17/derived/state_matched.csv,joint state x age cells (ladder 125 'common age and place')
fiscal,"ledger balance, common age and place (personal_sources)",$ per standardized person per year,yes,-5813.961564,nan,-6791.231352,-4895.733623,-0.005358,0.011285,0.002964,0.003438,0.002605,SOURCE,infra/immigration-fiscal/ledger_stress_2026_09_17/derived/state_matched.csv,joint state x age cells (ladder 125 'common age and place')
norms,All-13 confidence index (scale pts),scale points,yes,0.130000,0.020000,0.020000,0.030000,0.064545,-0.013982,0.025282,0.029327,0.022217,SOURCE,infra/immigration-fiscal/norms_gen_2026_09_18/derived/mex_synth_table.md,"Mexican-origin only; adjusted for age, education, income, year (ladder 135)"
norms,"Anti-American Muslim clergyman, 3 items",scale points,yes,-0.440000,0.070000,-0.270000,-0.250000,0.016840,0.002654,0.009747,0.011306,0.008565,SOURCE,infra/immigration-fiscal/norms_gen_2026_09_18/derived/mex_synth_table.md,"Mexican-origin only; adjusted for age, education, income, year (ladder 135)"
norms,Authoritarian child-rearing (0-4),scale points,no,0.110000,0.170000,0.340000,-0.030000,-0.038913,0.083715,0.022401,0.025986,0.019686,SOURCE,infra/immigration-fiscal/norms_gen_2026_09_18/derived/mex_synth_table.md,"Mexican-origin only; adjusted for age, education, income, year (ladder 135)"
norms,Death penalty (pp),pp,yes,-35.500000,2.300000,-9.700000,-4.100000,0.044738,0.029694,0.037216,0.043171,0.032705,SOURCE,infra/immigration-fiscal/norms_gen_2026_09_18/derived/mex_synth_table.md,"Mexican-origin only; adjusted for age, education, income, year (ladder 135)"
norms,"Democracy is preferable (2024, pp)",pp,no,-3.400000,8.300000,-10.900000,-3.700000,-0.040172,0.037256,-0.001458,-0.001691,-0.001281,SOURCE,infra/immigration-fiscal/norms_gen_2026_09_18/derived/mex_synth_table.md,"Mexican-origin only; adjusted for age, education, income, year (ladder 135)"
norms,Ever approves police striking a citizen (pp),pp,yes,-42.800000,2.400000,-25.700000,-8.700000,0.017588,0.037351,0.027469,0.031864,0.024140,SOURCE,infra/immigration-fiscal/norms_gen_2026_09_18/derived/mex_synth_table.md,"Mexican-origin only; adjusted for age, education, income, year (ladder 135)"
norms,"Generalized trust (GSS, adjusted)",pp,yes,-11.150000,nan,-11.630000,-10.520000,-0.001453,0.003459,0.001003,0.001163,0.000881,SOURCE,research/immigration-confidence-ladder.md:138,"Hispanic generations, not Mexican-origin only; ladder 117 puts adjusted G3+ minus G1 at +2.08pp [-2.36, 6.52], i.e. no measured convergence"
norms,Government should reduce income differences (1-7),scale points,yes,0.590000,0.110000,0.580000,0.320000,0.000589,0.020507,0.010548,0.012236,0.009270,SOURCE,infra/immigration-fiscal/norms_gen_2026_09_18/derived/mex_synth_table.md,"Mexican-origin only; adjusted for age, education, income, year (ladder 135)"
norms,Obedience as a top child quality (pp),pp,yes,16.100000,2.700000,2.600000,4.400000,0.062873,-0.018141,0.022366,0.025944,0.019655,SOURCE,infra/immigration-fiscal/norms_gen_2026_09_18/derived/mex_synth_table.md,"Mexican-origin only; adjusted for age, education, income, year (ladder 135); ladder 135: interviewer mode inflates the G1 gap by roughly 20 points"
norms,Political violence at least a little justified (pp),pp,yes,20.300000,4.700000,9.500000,13.700000,0.026184,-0.012624,0.006780,0.007865,0.005958,SOURCE,infra/immigration-fiscal/norms_gen_2026_09_18/derived/mex_synth_table.md,"Mexican-origin only; adjusted for age, education, income, year (ladder 135)"
norms,President without Congress or courts (pp),pp,no,1.900000,4.100000,5.200000,5.700000,-0.034717,-0.003166,-0.018942,-0.021972,-0.016646,SOURCE,infra/immigration-fiscal/norms_gen_2026_09_18/derived/mex_synth_table.md,"Mexican-origin only; adjusted for age, education, income, year (ladder 135)"
norms,Stouffer 15-item tolerance (scale pts),scale points,yes,-1.370000,0.270000,-1.420000,-0.340000,-0.001236,0.049292,0.024028,0.027872,0.021115,SOURCE,infra/immigration-fiscal/norms_gen_2026_09_18/derived/mex_synth_table.md,"Mexican-origin only; adjusted for age, education, income, year (ladder 135)"
norms,Strong leader who bends the rules (pp),pp,no,-6.400000,6.500000,-2.400000,2.700000,0.033822,-0.004061,0.014880,0.017261,0.013076,SOURCE,infra/immigration-fiscal/norms_gen_2026_09_18/derived/mex_synth_table.md,"Mexican-origin only; adjusted for age, education, income, year (ladder 135)"
