arm,description,a,tau,c,a_needed_for_positive_mstar,mstar,mstar_over_observed,sign,reverses_headline,note
A0 headline [slow end],"repo generational a, repo cohort tau, c=0.5",0.001438,0.416113,0.50,0.018446,-0.023578,-39.561,zero or negative,no,"no correction; ledger balance, common age and place (all_age_shared)"
A0 headline [fast end],"repo generational a, repo cohort tau, c=0.5",0.013331,0.416113,0.50,0.018446,-0.007091,-11.898,zero or negative,no,"no correction; median earnings, workers 25-64"
A1 attrition 17% [slow end],"third-generation gap scaled by (1-s), leavers assumed fully converged",0.004651,0.416113,0.50,0.018446,-0.019125,-32.088,zero or negative,no,"upper bound on the correction, adds 0.003213 to a; ledger balance, common age and place (all_age_shared)"
A1 attrition 17% [fast end],"third-generation gap scaled by (1-s), leavers assumed fully converged",0.016544,0.416113,0.50,0.018446,-0.002638,-4.425,zero or negative,no,"upper bound on the correction, adds 0.003213 to a; median earnings, workers 25-64"
A1 attrition 30% [slow end],"third-generation gap scaled by (1-s), leavers assumed fully converged",0.007588,0.416113,0.50,0.018446,-0.015053,-25.257,zero or negative,no,"upper bound on the correction, adds 0.006150 to a; ledger balance, common age and place (all_age_shared)"
A1 attrition 30% [fast end],"third-generation gap scaled by (1-s), leavers assumed fully converged",0.019481,0.416113,0.50,0.018446,0.001434,2.406,positive,yes,"upper bound on the correction, adds 0.006150 to a; median earnings, workers 25-64"
A2 reference group [slow end],delta re-referenced from white natives to all natives using research/immigration-mexican-origin-by-generation-2026-09-16.md:24,0.001438,0.305740,0.50,0.013553,-0.018284,-30.677,zero or negative,no,"log shift -0.071187, tau 0.4161 -> 0.3057; ledger balance, common age and place (all_age_shared)"
A2 reference group [fast end],delta re-referenced from white natives to all natives using research/immigration-mexican-origin-by-generation-2026-09-16.md:24,0.013331,0.305740,0.50,0.013553,-0.000336,-0.563,zero or negative,no,"log shift -0.071187, tau 0.4161 -> 0.3057; median earnings, workers 25-64"
A3 attrition 17% + reference group [slow end],both corrections at once,0.004651,0.305740,0.50,0.013553,-0.013435,-22.543,zero or negative,no,"the arm most able to reverse the sign; ledger balance, common age and place (all_age_shared)"
A3 attrition 17% + reference group [fast end],both corrections at once,0.016544,0.305740,0.50,0.013553,0.004513,7.571,positive,yes,"the arm most able to reverse the sign; median earnings, workers 25-64"
A3 attrition 30% + reference group [slow end],both corrections at once,0.007588,0.305740,0.50,0.013553,-0.009003,-15.106,zero or negative,no,"the arm most able to reverse the sign; ledger balance, common age and place (all_age_shared)"
A3 attrition 30% + reference group [fast end],both corrections at once,0.019481,0.305740,0.50,0.013553,0.008945,15.008,positive,yes,"the arm most able to reverse the sign; median earnings, workers 25-64"
A4 generation 25 years [slow end],shorter generational interval raises a,0.001668,0.416113,0.50,0.018446,-0.023259,-39.026,zero or negative,no,"brief stipulates 29, 25 is the aggressive end; ledger balance, common age and place (all_age_shared)"
A4 generation 25 years [fast end],shorter generational interval raises a,0.015464,0.416113,0.50,0.018446,-0.004134,-6.937,zero or negative,no,"brief stipulates 29, 25 is the aggressive end; median earnings, workers 25-64"
A5 repo a only [slow end],repo generational a with the paper's own Mexico tau,0.001438,0.239000,0.50,0.010595,-0.014601,-24.498,zero or negative,no,"isolates the assimilation substitution; ledger balance, common age and place (all_age_shared)"
A5 repo a only [fast end],repo generational a with the paper's own Mexico tau,0.013331,0.239000,0.50,0.010595,0.004363,7.320,positive,yes,"isolates the assimilation substitution; median earnings, workers 25-64"
A6 repo tau only,the paper's Mexico a with the repo's cohort tau,0.028200,0.416113,0.50,0.018446,0.013522,22.687,positive,yes,isolates the transmission substitution
A7 paper both,"the paper's own Mexico row, reproduced",0.028200,0.239000,0.50,0.010595,0.028072,47.101,positive,yes,gate reference line
A8 fastest measured outcome,a from Death penalty (pp),0.037216,0.416113,0.50,0.018446,0.026020,43.658,positive,yes,"upper bound on a from any repo outcome, an attitude item"
A9 unconditional tau [slow end],delta from the unconditional mean-earnings gap,0.001438,0.911985,0.50,0.040428,-0.039578,-66.407,zero or negative,no,"not the paper's definition, its gamma is already net of human capital, shown as the opposite bound; ledger balance, common age and place (all_age_shared)"
A9 unconditional tau [fast end],delta from the unconditional mean-earnings gap,0.013331,0.911985,0.50,0.040428,-0.027506,-46.151,zero or negative,no,"not the paper's definition, its gamma is already net of human capital, shown as the opposite bound; median earnings, workers 25-64"
