item,hisp_share,nhw_share,b70_100_share,b100_150_share,h_over_nhw,h_over_b70,h_over_b100
Food at home,8.9,7.8,8.6,7.9,1.14,1.03,1.13
Food away from home,5.4,5.1,4.8,5.3,1.06,1.13,1.02
Alcoholic beverages,0.5,0.9,0.7,0.8,0.56,0.71,0.62
Housing,36.6,32.2,35.3,32.8,1.14,1.04,1.12
Apparel and services,3.2,2.4,2.2,2.3,1.33,1.45,1.39
Transportation,19.1,16.5,17.2,17.9,1.16,1.11,1.07
Vehicle purchases (net outlay),7.4,6.9,5.9,6.7,1.07,1.25,1.1
Healthcare,5.8,8.3,8.6,8.0,0.7,0.67,0.72
Entertainment,3.5,5.0,4.4,4.4,0.7,0.8,0.8
Personal care products and services,1.4,1.2,1.3,1.3,1.17,1.08,1.08
Reading,0.1,0.2,0.1,0.1,0.5,1.0,1.0
Education,1.3,2.2,1.2,1.6,0.59,1.08,0.81
Tobacco products and smoking supplies,0.2,0.5,0.6,0.4,0.4,0.33,0.5
Miscellaneous,1.4,1.5,1.8,1.5,0.93,0.78,0.93
Cash contributions,1.3,3.3,3.0,2.3,0.39,0.43,0.57
Personal insurance and pensions,11.1,12.9,10.1,13.4,0.86,1.1,0.83
Life and other personal insurance,0.4,0.8,0.6,0.7,0.5,0.67,0.57
