arm,tangible_bn,full_bn,murder_share_tangible,murder_share_full,per_person_tangible,per_person_full,outside_nonfatal_victims,outside_homicide_victims,group_nonfatal_victims,group_homicides
central,4.5014,28.9229,0.5382,0.3165,110.0667,707.2202,401735.2951,1021.3576,588686.5417,2301.6418
"price: McCollister 2010, risk of homicide removed",2.4693,29.5826,0.4445,0.4247,60.3794,723.3523,401735.2951,1021.3576,588686.5417,2301.6418
price: Miller 2021 non-fatal + DOT 2024 VSL for murder,4.5014,33.7603,0.5382,0.4145,110.0667,825.5038,401735.2951,1021.3576,588686.5417,2301.6418
assault cost ratio k at the NCVS injury/arrest floor 1.93,4.5014,27.7560,0.5382,0.3298,110.0667,678.6881,401735.2951,1021.3576,588686.5417,2301.6418
NCVS unknown-offender incidents dropped (known only),4.1206,25.3018,0.5880,0.3618,100.7565,618.6786,328181.6767,1021.3576,480367.2309,2301.6418
incidents not converted to victimisations,4.3458,27.4401,0.5575,0.3336,106.2626,670.9627,371616.6469,1021.3576,545466.2771,2301.6418
NCVS 2024 alone instead of pooled 2022-2024 rate,4.8024,31.9104,0.5045,0.2869,117.4276,780.2714,458164.5243,1021.3576,630348.1283,2301.6418
offence mix: 2019 Hispanic-offender serious share by victim,4.5058,28.9906,0.5377,0.3158,110.1755,708.8758,401735.2951,1021.3576,588686.5417,2301.6418
scaling: rate x target (NCVS 2024 denominator),4.6723,30.0215,0.5382,0.3165,114.2476,734.0842,416995.3253,1060.1542,611047.9686,2389.0703
scaling: ACS institutional ratio 0.901 (generic Hispanic kept apart),4.0560,26.0612,0.5382,0.3165,99.1766,637.2469,361987.0590,920.3031,530441.0952,2073.9143
scaling: ACS institutional ratio 1.118 (generic reallocated),5.0329,32.3381,0.5382,0.3165,123.0634,790.7290,449172.3074,1141.9598,658198.8079,2573.4203
Hispanic victims all in-group (non-Hispanic victims only: lower bound),3.4102,23.4535,0.4682,0.2573,83.3857,573.4842,350888.0278,673.1441,588686.5417,2301.6418
Hispanic victims Mexican at county exposure 0.744,4.7171,30.0045,0.5482,0.3257,115.3429,733.6666,411790.3674,1090.2170,588686.5417,2301.6418
Hispanic victims Mexican at national share 0.586,5.5227,34.0422,0.5787,0.3548,135.0400,832.3964,449328.0518,1347.2835,588686.5417,2301.6418
homicide: SHR 2019-2024 offender distribution,4.4712,28.8090,0.5351,0.3138,109.3299,704.4358,401735.2951,1008.6538,588686.5417,2259.9072
homicide: cleared cases only,3.9683,26.9084,0.4762,0.2654,97.0317,657.9622,401735.2951,796.6210,588686.5417,1784.8544
homicide: joint-imputed victim distribution (homicide lane C1b),4.6753,29.5804,0.5554,0.3317,114.3212,723.2977,401735.2951,1094.7098,588686.5417,2301.6418
"non-fatal offender ethnicity from 2019 adult arrest shares, not NCVS perception",5.5986,43.1199,0.4327,0.2123,136.8972,1054.3657,577463.8422,1021.3576,843484.6225,2301.6418
"ENVELOPE low, miller2021",2.3626,15.4099,0.4775,0.2767,57.7707,376.8025,238846.1872,475.6146,401046.8641,1608.2585
"ENVELOPE high, miller2021",6.0101,38.9684,0.5312,0.3096,146.9585,952.8512,542470.8698,1345.8027,731551.0687,2671.1724
"ENVELOPE low, mccollister2010",1.3288,16.9272,0.3846,0.3456,32.4910,413.9016,238846.1872,475.6146,401046.8641,1608.2585
"ENVELOPE high, mccollister2010",3.3067,39.9602,0.4373,0.4142,80.8561,977.1031,542470.8698,1345.8027,731551.0687,2671.1724
"ENVELOPE low, miller2021_dot_vsl",2.3626,17.6626,0.4775,0.3689,57.7707,431.8835,238846.1872,475.6146,401046.8641,1608.2585
"ENVELOPE high, miller2021_dot_vsl",6.0101,45.3424,0.5312,0.4066,146.9585,1108.7088,542470.8698,1345.8027,731551.0687,2671.1724
