county_fips,cbsa,cbsa_title,is_metro
01001,33860,"Montgomery, AL",1
01003,19300,"Daphne-Fairhope-Foley, AL",1
01007,13820,"Birmingham-Hoover, AL",1
01009,13820,"Birmingham-Hoover, AL",1
01015,11500,"Anniston-Oxford-Jacksonville, AL",1
01017,46740,"Valley, AL",0
01021,13820,"Birmingham-Hoover, AL",1
01031,21460,"Enterprise, AL",0
01033,22520,"Florence-Muscle Shoals, AL",1
01037,45180,"Talladega-Sylacauga, AL",0
01043,18980,"Cullman, AL",0
01045,37120,"Ozark, AL",0
01047,42820,"Selma, AL",0
01051,33860,"Montgomery, AL",1
01055,23460,"Gadsden, AL",1
01061,20020,"Dothan, AL",1
01065,46220,"Tuscaloosa, AL",1
01067,20020,"Dothan, AL",1
01069,20020,"Dothan, AL",1
01071,42460,"Scottsboro, AL",0
01073,13820,"Birmingham-Hoover, AL",1
01077,22520,"Florence-Muscle Shoals, AL",1
01079,19460,"Decatur, AL",1
01081,12220,"Auburn-Opelika, AL",1
01083,26620,"Huntsville, AL",1
01085,33860,"Montgomery, AL",1
01089,26620,"Huntsville, AL",1
01095,10700,"Albertville, AL",0
01097,33660,"Mobile, AL",1
01101,33860,"Montgomery, AL",1
01103,19460,"Decatur, AL",1
01107,46220,"Tuscaloosa, AL",1
01109,45980,"Troy, AL",0
01113,17980,"Columbus, GA-AL",1
01115,13820,"Birmingham-Hoover, AL",1
01117,13820,"Birmingham-Hoover, AL",1
01121,45180,"Talladega-Sylacauga, AL",0
01125,46220,"Tuscaloosa, AL",1
01127,13820,"Birmingham-Hoover, AL",1
02020,11260,"Anchorage, AK",1
02090,21820,"Fairbanks, AK",1
02110,27940,"Juneau, AK",0
02130,28540,"Ketchikan, AK",0
02170,11260,"Anchorage, AK",1
04003,43420,"Sierra Vista-Douglas, AZ",1
04005,22380,"Flagstaff, AZ",1
04007,37740,"Payson, AZ",0
04009,40940,"Safford, AZ",0
04013,38060,"Phoenix-Mesa-Scottsdale, AZ",1
04015,29420,"Lake Havasu City-Kingman, AZ",1
04017,43320,"Show Low, AZ",0
04019,46060,"Tucson, AZ",1
04021,38060,"Phoenix-Mesa-Scottsdale, AZ",1
04023,35700,"Nogales, AZ",0
04025,39140,"Prescott, AZ",1
04027,49740,"Yuma, AZ",1
05005,34260,"Mountain Home, AR",0
05007,22220,"Fayetteville-Springdale-Rogers, AR-MO",1
05009,25460,"Harrison, AR",0
05013,15780,"Camden, AR",0
05019,11660,"Arkadelphia, AR",0
05025,38220,"Pine Bluff, AR",1
05027,31620,"Magnolia, AR",0
05031,27860,"Jonesboro, AR",1
05033,22900,"Fort Smith, AR-OK",1
05035,32820,"Memphis, TN-MS-AR",1
05045,30780,"Little Rock-North Little Rock-Conway, AR",1
05051,26300,"Hot Springs, AR",1
05053,30780,"Little Rock-North Little Rock-Conway, AR",1
05055,37500,"Paragould, AR",0
05059,31680,"Malvern, AR",0
05063,12900,"Batesville, AR",0
05069,38220,"Pine Bluff, AR",1
05079,38220,"Pine Bluff, AR",1
05081,45500,"Texarkana, TX-AR",1
05085,30780,"Little Rock-North Little Rock-Conway, AR",1
05087,22220,"Fayetteville-Springdale-Rogers, AR-MO",1
05091,45500,"Texarkana, TX-AR",1
05093,14180,"Blytheville, AR",0
05101,25460,"Harrison, AR",0
05103,15780,"Camden, AR",0
05105,30780,"Little Rock-North Little Rock-Conway, AR",1
05107,25760,"Helena-West Helena, AR",0
05111,27860,"Jonesboro, AR",1
05115,40780,"Russellville, AR",0
05119,30780,"Little Rock-North Little Rock-Conway, AR",1
05123,22620,"Forrest City, AR",0
05125,30780,"Little Rock-North Little Rock-Conway, AR",1
05131,22900,"Fort Smith, AR-OK",1
05139,20980,"El Dorado, AR",0
05143,22220,"Fayetteville-Springdale-Rogers, AR-MO",1
05145,42620,"Searcy, AR",0
05149,40780,"Russellville, AR",0
06001,41860,"San Francisco-Oakland-Hayward, CA",1
06007,17020,"Chico, CA",1
06013,41860,"San Francisco-Oakland-Hayward, CA",1
06015,18860,"Crescent City, CA",0
06017,40900,"Sacramento--Roseville--Arden-Arcade, CA",1
06019,23420,"Fresno, CA",1
06023,21700,"Eureka-Arcata-Fortuna, CA",0
06025,20940,"El Centro, CA",1
06029,12540,"Bakersfield, CA",1
06031,25260,"Hanford-Corcoran, CA",1
06033,17340,"Clearlake, CA",0
06035,45000,"Susanville, CA",0
06037,31080,"Los Angeles-Long Beach-Anaheim, CA",1
06039,31460,"Madera, CA",1
06041,41860,"San Francisco-Oakland-Hayward, CA",1
06045,46380,"Ukiah, CA",0
06047,32900,"Merced, CA",1
06053,41500,"Salinas, CA",1
06055,34900,"Napa, CA",1
06057,46020,"Truckee-Grass Valley, CA",0
06059,31080,"Los Angeles-Long Beach-Anaheim, CA",1
06061,40900,"Sacramento--Roseville--Arden-Arcade, CA",1
06065,40140,"Riverside-San Bernardino-Ontario, CA",1
06067,40900,"Sacramento--Roseville--Arden-Arcade, CA",1
06069,41940,"San Jose-Sunnyvale-Santa Clara, CA",1
06071,40140,"Riverside-San Bernardino-Ontario, CA",1
06073,41740,"San Diego-Carlsbad, CA",1
06075,41860,"San Francisco-Oakland-Hayward, CA",1
06077,44700,"Stockton-Lodi, CA",1
06079,42020,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",1
06081,41860,"San Francisco-Oakland-Hayward, CA",1
06083,42200,"Santa Maria-Santa Barbara, CA",1
06085,41940,"San Jose-Sunnyvale-Santa Clara, CA",1
06087,42100,"Santa Cruz-Watsonville, CA",1
06089,39820,"Redding, CA",1
06095,46700,"Vallejo-Fairfield, CA",1
06097,42220,"Santa Rosa, CA",1
06099,33700,"Modesto, CA",1
06101,49700,"Yuba City, CA",1
06103,39780,"Red Bluff, CA",0
06107,47300,"Visalia-Porterville, CA",1
06109,43760,"Sonora, CA",0
06111,37100,"Oxnard-Thousand Oaks-Ventura, CA",1
06113,40900,"Sacramento--Roseville--Arden-Arcade, CA",1
06115,49700,"Yuba City, CA",1
08001,19740,"Denver-Aurora-Lakewood, CO",1
08005,19740,"Denver-Aurora-Lakewood, CO",1
08013,14500,"Boulder, CO",1
08014,19740,"Denver-Aurora-Lakewood, CO",1
08019,19740,"Denver-Aurora-Lakewood, CO",1
08031,19740,"Denver-Aurora-Lakewood, CO",1
08035,19740,"Denver-Aurora-Lakewood, CO",1
08037,20780,"Edwards, CO",0
08039,19740,"Denver-Aurora-Lakewood, CO",1
08041,17820,"Colorado Springs, CO",1
08043,15860,"Cañon City, CO",0
08045,24060,"Glenwood Springs, CO",0
08047,19740,"Denver-Aurora-Lakewood, CO",1
08059,19740,"Denver-Aurora-Lakewood, CO",1
08067,20420,"Durango, CO",0
08069,22660,"Fort Collins, CO",1
08075,44540,"Sterling, CO",0
08077,24300,"Grand Junction, CO",1
08081,18780,"Craig, CO",0
08085,33940,"Montrose, CO",0
08087,22820,"Fort Morgan, CO",0
08093,19740,"Denver-Aurora-Lakewood, CO",1
08097,24060,"Glenwood Springs, CO",0
08101,39380,"Pueblo, CO",1
08107,44460,"Steamboat Springs, CO",0
08117,14720,"Breckenridge, CO",0
08119,17820,"Colorado Springs, CO",1
08123,24540,"Greeley, CO",1
09001,14860,"Bridgeport-Stamford-Norwalk, CT",1
09003,25540,"Hartford-West Hartford-East Hartford, CT",1
09005,45860,"Torrington, CT",0
09007,25540,"Hartford-West Hartford-East Hartford, CT",1
09009,35300,"New Haven-Milford, CT",1
09011,35980,"Norwich-New London, CT",1
09013,25540,"Hartford-West Hartford-East Hartford, CT",1
09015,49340,"Worcester, MA-CT",1
10001,20100,"Dover, DE",1
10003,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",1
10005,41540,"Salisbury, MD-DE",1
11001,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1
12001,23540,"Gainesville, FL",1
12003,27260,"Jacksonville, FL",1
12005,37460,"Panama City, FL",1
12009,37340,"Palm Bay-Melbourne-Titusville, FL",1
12011,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",1
12015,39460,"Punta Gorda, FL",1
12017,26140,"Homosassa Springs, FL",1
12019,27260,"Jacksonville, FL",1
12021,34940,"Naples-Immokalee-Marco Island, FL",1
12023,29380,"Lake City, FL",0
12027,11580,"Arcadia, FL",0
12031,27260,"Jacksonville, FL",1
12033,37860,"Pensacola-Ferry Pass-Brent, FL",1
12035,19660,"Deltona-Daytona Beach-Ormond Beach, FL",1
12039,45220,"Tallahassee, FL",1
12041,23540,"Gainesville, FL",1
12045,37460,"Panama City, FL",1
12049,48100,"Wauchula, FL",0
12051,17500,"Clewiston, FL",0
12053,45300,"Tampa-St. Petersburg-Clearwater, FL",1
12055,42700,"Sebring, FL",1
12057,45300,"Tampa-St. Petersburg-Clearwater, FL",1
12061,42680,"Sebastian-Vero Beach, FL",1
12065,45220,"Tallahassee, FL",1
12069,36740,"Orlando-Kissimmee-Sanford, FL",1
12071,15980,"Cape Coral-Fort Myers, FL",1
12073,45220,"Tallahassee, FL",1
12081,35840,"North Port-Sarasota-Bradenton, FL",1
12083,36100,"Ocala, FL",1
12085,38940,"Port St. Lucie, FL",1
12086,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",1
12087,28580,"Key West, FL",0
12089,27260,"Jacksonville, FL",1
12091,18880,"Crestview-Fort Walton Beach-Destin, FL",1
12093,36380,"Okeechobee, FL",0
12095,36740,"Orlando-Kissimmee-Sanford, FL",1
12097,36740,"Orlando-Kissimmee-Sanford, FL",1
12099,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",1
12101,45300,"Tampa-St. Petersburg-Clearwater, FL",1
12103,45300,"Tampa-St. Petersburg-Clearwater, FL",1
12105,29460,"Lakeland-Winter Haven, FL",1
12107,37260,"Palatka, FL",0
12109,27260,"Jacksonville, FL",1
12111,38940,"Port St. Lucie, FL",1
12113,37860,"Pensacola-Ferry Pass-Brent, FL",1
12115,35840,"North Port-Sarasota-Bradenton, FL",1
12117,36740,"Orlando-Kissimmee-Sanford, FL",1
12119,45540,"The Villages, FL",1
12127,19660,"Deltona-Daytona Beach-Ormond Beach, FL",1
12129,45220,"Tallahassee, FL",1
12131,18880,"Crestview-Fort Walton Beach-Destin, FL",1
13007,10500,"Albany, GA",1
13009,33300,"Milledgeville, GA",0
13013,12060,"Atlanta-Sandy Springs-Roswell, GA",1
13015,12060,"Atlanta-Sandy Springs-Roswell, GA",1
13017,22340,"Fitzgerald, GA",0
13021,31420,"Macon, GA",1
13025,15260,"Brunswick, GA",1
13027,46660,"Valdosta, GA",1
13029,42340,"Savannah, GA",1
13031,44340,"Statesboro, GA",0
13033,12260,"Augusta-Richmond County, GA-SC",1
13035,12060,"Atlanta-Sandy Springs-Roswell, GA",1
13039,41220,"St. Marys, GA",0
13045,12060,"Atlanta-Sandy Springs-Roswell, GA",1
13047,16860,"Chattanooga, TN-GA",1
13051,42340,"Savannah, GA",1
13053,17980,"Columbus, GA-AL",1
13055,44900,"Summerville, GA",0
13057,12060,"Atlanta-Sandy Springs-Roswell, GA",1
13059,12020,"Athens-Clarke County, GA",1
13063,12060,"Atlanta-Sandy Springs-Roswell, GA",1
13067,12060,"Atlanta-Sandy Springs-Roswell, GA",1
13069,20060,"Douglas, GA",0
13071,34220,"Moultrie, GA",0
13073,12260,"Augusta-Richmond County, GA-SC",1
13077,12060,"Atlanta-Sandy Springs-Roswell, GA",1
13079,31420,"Macon, GA",1
13081,18380,"Cordele, GA",0
13083,16860,"Chattanooga, TN-GA",1
13085,12060,"Atlanta-Sandy Springs-Roswell, GA",1
13087,12460,"Bainbridge, GA",0
13089,12060,"Atlanta-Sandy Springs-Roswell, GA",1
13095,10500,"Albany, GA",1
13097,12060,"Atlanta-Sandy Springs-Roswell, GA",1
13101,46660,"Valdosta, GA",1
13103,42340,"Savannah, GA",1
13113,12060,"Atlanta-Sandy Springs-Roswell, GA",1
13115,40660,"Rome, GA",1
13117,12060,"Atlanta-Sandy Springs-Roswell, GA",1
13121,12060,"Atlanta-Sandy Springs-Roswell, GA",1
13127,15260,"Brunswick, GA",1
13129,15660,"Calhoun, GA",0
13135,12060,"Atlanta-Sandy Springs-Roswell, GA",1
13137,18460,"Cornelia, GA",0
13139,23580,"Gainesville, GA",1
13141,33300,"Milledgeville, GA",0
13143,12060,"Atlanta-Sandy Springs-Roswell, GA",1
13145,17980,"Columbus, GA-AL",1
13149,12060,"Atlanta-Sandy Springs-Roswell, GA",1
13151,12060,"Atlanta-Sandy Springs-Roswell, GA",1
13153,47580,"Warner Robins, GA",1
13157,27600,"Jefferson, GA",0
13159,12060,"Atlanta-Sandy Springs-Roswell, GA",1
13167,20140,"Dublin, GA",0
13169,31420,"Macon, GA",1
13171,12060,"Atlanta-Sandy Springs-Roswell, GA",1
13173,46660,"Valdosta, GA",1
13175,20140,"Dublin, GA",0
13177,10500,"Albany, GA",1
13179,25980,"Hinesville, GA",1
13181,12260,"Augusta-Richmond County, GA-SC",1
13183,25980,"Hinesville, GA",1
13185,46660,"Valdosta, GA",1
13189,12260,"Augusta-Richmond County, GA-SC",1
13191,15260,"Brunswick, GA",1
13195,12020,"Athens-Clarke County, GA",1
13197,17980,"Columbus, GA-AL",1
13199,12060,"Atlanta-Sandy Springs-Roswell, GA",1
13207,31420,"Macon, GA",1
13209,47080,"Vidalia, GA",0
13211,12060,"Atlanta-Sandy Springs-Roswell, GA",1
13213,19140,"Dalton, GA",1
13215,17980,"Columbus, GA-AL",1
