cbsa,name,native_births,native_women_15_50,native_birth_rate,fb_births,fb_women_15_50,fb_birth_rate,all_birth_rate,pop,fb_share,median_rent,median_hh_income,black_share,hisp_share,ownership_rate,median_age_native_female,ba_plus_share,share_women_20_34,women_15_50_all
10140,"Aberdeen, WA Micro Area",865.0,13586.0,63.66848226115118,73.0,1509.0,48.37640821736249,62.13978138456443,72882.0,6.107132076507231,693,40019,,,70.18607273752467,44.4,15.785146615511097,40.67357924321578,12595.4
10180,"Abilene, TX Metro Area",2002.0,36791.0,54.41548204723982,219.0,2340.0,93.58974358974359,56.75806905011372,164941.0,5.531674962562371,751,40630,7.109815024766432,21.31186302981066,62.650984847219206,35.5,20.894364240757948,47.13576772963013,33974.2
10300,"Adrian, MI Micro Area",1055.0,21019.0,50.19268281079024,0.0,630.0,0.0,48.73204305048732,99763.0,2.546034100818941,638,45563,,,80.9856635755758,41.1,20.05822545368564,35.50279605805254,18204.2
10380,"Aguadilla-Isabela-San Sebasti?n, PR Metro Area",3912.0,74474.0,52.5283991728657,101.0,1047.0,96.4660936007641,53.137537903364624,,,379,14313,0.10229159313437128,97.28518765441781,70.45798847177062,39.2,16.005417384880573,36.42032842373775,65232.8
10420,"Akron, OH Metro Area",7837.0,163967.0,47.796202894484864,346.0,7830.0,44.18901660280971,47.63179799414425,702951.0,3.8281473388614566,702,46521,11.625276868515728,1.5481875692615843,69.04089541529467,41.0,28.513396330823753,40.73635375196315,144028.6
10500,"Albany, GA Metro Area",3387.0,39115.0,86.59082193531893,405.0,1386.0,292.2077922077922,93.62731784400385,162659.0,2.45421403057931,715,34002,,,59.185569918523804,36.7,15.81972579527074,43.54791299235743,34020.0
10540,"Albany-Lebanon, OR Micro Area",1550.0,24912.0,62.219010918432886,0.0,1949.0,0.0,57.704478612114215,116910.0,4.538533914977333,762,42900,,,66.91288003693201,41.2,18.374651495742597,38.487210015513945,22173.6
10580,"Albany-Schenectady-Troy, NY Metro Area",9205.0,198215.0,46.43947229018995,1290.0,17599.0,73.29961929655094,48.62983865736236,870832.0,6.635378580483951,846,55796,7.39189648520036,4.175776728461977,64.78140399387323,40.5,33.180207933537346,40.27658259967785,181284.0
10700,"Albertville, AL Micro Area",,,,,,,,93235.0,8.925832573604334,576,39343,,,70.79716765646414,40.7,12.989974896221307,35.79061018232007,17968.4
10740,"Albuquerque, NM Metro Area",9967.0,189395.0,52.625465297394335,2759.0,29618.0,93.15281247889797,58.1061398181843,892014.0,10.183136139118892,748,47383,2.328887214774656,46.91439820451249,66.80655452436196,36.8,29.273917267474562,40.02267890840002,185899.6
10780,"Alexandria, LA Metro Area",2193.0,36105.0,60.739509763190696,0.0,652.0,0.0,59.66210517724515,154120.0,2.3202699195432133,661,40017,,,67.15960127067588,38.9,16.794364925980794,38.62726583591557,30077.2
10880,"Allegan, MI Micro Area",1872.0,25148.0,74.43931923015747,0.0,854.0,0.0,71.99446196446426,111503.0,2.011605068921912,675,44847,,,82.0822548173713,39.5,18.519879173810107,35.770164048080794,21347.4
10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",8236.0,174561.0,47.18121458974227,1344.0,19833.0,67.76584480411435,49.281356420465656,822141.0,7.645282256936463,848,55630,4.1969686464973766,13.042896534779313,71.90259093973738,41.3,26.62262234484427,36.093135420358536,161390.8
11020,"Altoona, PA Metro Area",1297.0,27939.0,46.422563441783886,0.0,134.0,0.0,46.20097602678731,127031.0,1.3138525241870096,586,42990,,,71.60484350712902,44.3,16.142044553221382,38.17104047627195,23381.6
11100,"Amarillo, TX Metro Area",3265.0,53642.0,60.866485216807725,322.0,7510.0,42.876165113182424,58.657116692830975,251915.0,9.12410932258897,682,46390,5.586408113847925,25.42365480419983,63.80519053528057,34.7,24.657095485718592,41.74800907762426,52965.4
11180,"Ames, IA Metro Area",818.0,23447.0,34.88719239135071,43.0,2698.0,15.937731653076353,32.93172690763052,89575.0,7.967624895339101,686,48034,,,52.06828261415303,28.3,48.418849469496024,62.32801666095131,23912.2
11260,"Anchorage, AK Metro Area",6673.0,89999.0,74.14526828075869,1206.0,9016.0,133.76220053238686,79.57380194919962,382964.0,7.886380965312667,981,71490,4.522357192843192,6.69906309731463,65.22021874076263,32.2,30.811250338802825,40.79456361347349,83084.6
11300,"Anderson, IN Metro Area",1132.0,28670.0,39.48378095570283,92.0,1187.0,77.50631844987363,40.99541146129886,131642.0,1.9955637258625667,658,38772,,,70.5100610177524,41.5,17.118196269843047,37.0867833891663,25313.6
11340,"Anderson, SC Metro Area",2815.0,42612.0,66.06120341687787,104.0,1883.0,55.231014338821026,65.60287672772222,187269.0,2.889426440040797,628,36770,,,72.66444426376128,40.5,17.678440174824345,36.722979228615934,36723.6
11460,"Ann Arbor, MI Metro Area",3956.0,82454.0,47.97826666990079,752.0,13073.0,57.523139294729596,49.28449548295246,345290.0,10.722581018853719,839,55880,11.919256277332098,4.046453705580816,62.404186990638344,34.0,50.38631910329393,50.37630870475621,83575.0
11500,"Anniston-Oxford, AL Metro Area",1044.0,28002.0,37.28305121062781,0.0,1190.0,0.0,35.76322280076733,118510.0,2.7339465024048604,607,36675,,,67.46543979765383,39.6,14.743344796841168,42.12506776364042,25087.2
11540,"Appleton, WI Metro Area",2503.0,52980.0,47.244243110607776,66.0,1620.0,40.74074074074075,47.05128205128205,225952.0,3.71008001699476,676,55883,,,75.67009138899927,38.8,26.14105385680552,34.855918519438575,45085.6
11700,"Asheville, NC Metro Area",4059.0,87007.0,46.65141885135679,1107.0,7483.0,147.93532005879996,54.672452111334536,422752.0,5.743556505942018,730,42168,4.312930512451745,6.498136023011127,69.86410209723073,45.2,29.38407772602758,37.08749621556161,79272.0
11780,"Ashtabula, OH Micro Area",844.0,21953.0,38.44577050972532,0.0,190.0,0.0,38.11588312333468,101429.0,0.5757722150469786,600,38751,,,72.54320079836127,42.5,12.544301973778996,36.10925474809753,18554.8
11980,"Athens, TX Micro Area",812.0,14406.0,56.36540330417881,128.0,1822.0,70.25246981339188,57.924574808972146,78647.0,6.20875557872519,572,36570,,,76.32673599463267,45.7,13.717338584687196,33.90182719567766,13474.2
12020,"Athens-Clarke County, GA Metro Area",1511.0,52649.0,28.69950046534597,137.0,4211.0,32.53383994300641,28.983468167428775,192738.0,7.59839782502672,749,40391,,,59.11695997508176,29.9,35.01780923516431,58.6164435463501,50675.2
