area,trades_employed_total,trades_employed_union,trades_employed_union_share,trades_earnings_total,trades_earnings_union,trades_earnings_union_share,industry_employed_total,industry_employed_union,industry_employed_union_share,industry_earnings_total,industry_earnings_union,industry_earnings_union_share,all_employed_total,all_employed_union,all_employed_union_share,all_earnings_total,all_earnings_union,all_earnings_union_share,title
10180,5435.324797439232,2243.4366309892966,0.41275116291969466,242713371.0897419,83294879.9623437,0.3431820817632082,7185.54656396919,3139.717315194558,0.43694899020461214,342701630.0079466,140603098.95323598,0.4102784657020034,82920.73402020606,19285.13344003201,0.23257311537223757,4782196857.06054,867303091.5133117,0.18136080915046532,"Abilene, TX"
10420,12018.0,0.0,0.0,774822556.0,0.0,0.0,20247.0,50.0,0.0024695016545661086,1503161484.65,2538125.0,0.0016885245038000582,360085.0,2889.0,0.008023105655609092,22156026442.1055,232159735.32,0.010478401256951096,"Akron, OH"
10500,1934.9076262773724,77.90686523347665,0.040263867988036224,93514890.08900619,3308366.9775859816,0.035377970015653376,3092.036615478452,102.16895109489052,0.03304260712290472,160890143.30859149,4521929.225386699,0.028105694559010498,63950.16713264673,2646.194687551245,0.0413790112864358,3467831457.444382,107852989.58906901,0.031100989454819483,"Albany, GA"
10540,3029.3972,236.0,0.07790328716221168,270909236.902,20722267.75,0.0764915511444749,5011.0128,225.0,0.044901102627396994,444332718.09297,19873518.75,0.04472666076739765,62630.7704,5863.9461,0.09362723885638169,3612093336.1503115,180928121.22970998,0.050089547636811386,"Albany, OR"
10580,16890.82721727827,0.0,0.0,944930335.5883867,514491.1801119889,0.0005444752493755288,24209.902809719028,0.0,0.0,1701550649.1368043,494629.8000000001,0.0002906935507626091,468564.0222977702,2670.789721027897,0.0056999462057089455,34552645424.73987,134384312.10497075,0.0038892626151498925,"Albany-Schenectady-Troy, NY"
10740,26152.3796,13799.562,0.5276598998280064,1541138151.555805,899809539.4093449,0.5838604011593458,37952.231,18824.6738,0.4960096759529104,2497981235.57227,1269506139.660645,0.5082128406660389,446478.955,145641.6578,0.32620049874467205,28648041325.304493,7611508600.57254,0.2656903665469576,"Albuquerque, NM"
10780,2816.283498870113,184.00689999999997,0.06533678163928566,214014755.60897824,26285254.387349997,0.122819822925552,4674.678129657034,220.37189999999998,0.04714161999773189,314754552.13217205,31675511.059849996,0.10063559317975736,61205.047268043185,1991.0469022397758,0.03253076324767999,3597392568.3253865,107847828.98990023,0.029979443983814146,"Alexandria, LA"
10900,18383.0,636.0,0.034597182179187294,1086504407.525,21259335.0,0.019566726883720284,26110.0,636.0,0.024358483339716585,1893244900.65,21259335.0,0.011229046486643707,450904.0,5588.0,0.01239288185511772,29640896749.072502,295469811.595,0.009968315537020506,"Allentown-Bethlehem-Easton, PA-NJ"
11020,2155.1582,0.0,0.0,138583068.624585,0.0,0.0,2707.744,0.0,0.0,166911059.23540103,0.0,0.0,55936.251800000005,54.4492,0.000973415240525644,3054176672.776697,3398945.3225000002,0.0011128843176612497,"Altoona, PA"
11100,6911.776877687769,3355.200120012001,0.48543235399323725,311933282.6601235,144326113.74811482,0.46268263686812083,11444.025202520252,4756.076307630763,0.4155947075844747,603798250.3324157,204385060.4919342,0.33849892804328574,134968.1414141414,37926.78387838784,0.28100545418353096,7989319661.507662,1736416426.2584023,0.21734221433452117,"Amarillo, TX"
11180,2663.7661999999996,210.8356,0.0791494388659185,161164710.10878748,13992375.808825,0.08682034546756566,3229.4035,210.8356,0.06528623629719854,236455336.96507746,13992375.808825,0.05917555504738538,55919.4227,1560.0260999999998,0.027897750453707737,2901996818.512851,56799109.9909725,0.019572423246170062,"Ames, IA"
11260,7867.431,587.0,0.07461139474880682,550940929.276425,44284783.67125,0.08038027548508904,9658.2595,734.37,0.07603543889041292,722200219.7788125,52395724.756050006,0.07255013681953348,194534.72199999998,7668.481,0.039419600373449014,16457571339.647827,629883277.9839625,0.03827316102628794,"Anchorage, AK"
11460,5332.0,101.0,0.01894223555888972,385084426.525,8203220.0,0.02130239354010189,7940.0,393.0,0.04949622166246851,569132093.8,51478251.25,0.09045044517923477,191573.0,4535.0,0.023672438182833697,14958753924.63425,309485398.76,0.020689249941489834,"Ann Arbor, MI"
