paper,side,doi,s2_id,s2_citationCount,openalex_cited_by,fetched,note
"Card 1990 — The Impact of the Mariel Boatlift on the Miami Labor Market (ILRR)",pro,10.1177/001979399004300205,10622b57f55295cc9750db1b68bff29214e4c415,1885,4,2026-09-17,"OpenAlex record fragmented (4); S2 authoritative here"
"Card 2001 — Immigrant Inflows, Native Outflows... (JOLE)",pro,10.1086/209979,83c843cce543d4bb001092fe91a048df6ae9b0a1,2349,1796,2026-09-17,""
"Ottaviano & Peri 2012 — Rethinking the Effect of Immigration on Wages (JEEA)",pro,10.1111/j.1542-4774.2011.01052.x,8bf36b36fa25755449456f2b59720583a68412db,1367,1368,2026-09-17,""
"Card 2005 — Is the New Immigration Really So Bad? (EJ)",pro,10.1111/j.1468-0297.2005.01037.x,33ce47dd88b55edbb4cc35fe3ecc957e93e9093f,1100,844,2026-09-17,""
"Hunt & Gauthier-Loiselle 2010 — How Much Does Immigration Boost Innovation? (AEJ Macro)",pro-contrast-skilled,10.1257/mac.2.2.31,59a1ad3e89908f4cc32b9699c93e46622b897a52,1083,827,2026-09-17,"S2 count is on the NBER/SSRN record; published DOI returns NULL on S2"
"Card 2009 — Immigration and Inequality (AER P&P)",pro,10.1257/aer.99.2.1,05d19a9ba4c5da278b2a3172b5b287c44c7462a7,868,785,2026-09-17,""
"Peri & Sparber 2009 — Task Specialization, Immigration, and Wages (AEJ Applied)",pro,10.1257/app.1.3.135,e36c9a8de23f80abb2db696c9d48aaf146a1d793,806,896,2026-09-17,"S2 has no consolidated published record; count is the CReAM DP 02/08 record [DEGRADED]"
"Dustmann, Frattini & Preston 2013 — The Effect of Immigration along the Distribution of Wages (REStud)",pro-mechanism,10.1093/restud/rds019,bfd09a2e2b3e0512982788b7e60be1da83b01786,744,771,2026-09-17,""
"Storesletten 2000 — Sustaining Fiscal Policy through Immigration (JPE)",fiscal-conditional,10.1086/262120,1397cd3735c9238078686617de707d2efb97e9e5,632,539,2026-09-17,""
"Clemens 2011 — Economics and Emigration: Trillion-Dollar Bills on the Sidewalk? (JEP)",pro,10.1257/jep.25.3.83,022c84f390be8fac799cd26d4303b6f8fa35b46f,598,153,2026-09-17,"OpenAlex record fragmented low"
"Cortes 2008 — The Effect of Low-Skilled Immigration on U.S. Prices (JPE)",pro,10.1086/589756,95655683f750c8f91af4f5aa751cc36f2b6d138a,570,518,2026-09-17,""
"Peri 2012 — The Effect of Immigration on Productivity: Evidence from U.S. States (REStat)",pro,10.1162/REST_a_00137,b9154af83ba3e94ceaa29ba25d7eb9b816bd836b,529,591,2026-09-17,""
"Lewis 2011 — Immigration, Skill Mix, and Capital-Skill Complementarity (QJE)",pro-mechanism,10.1093/qje/qjr011,a01950deeeb8723f2dabb27e2afdfdad63f65cf4,437,429,2026-09-17,""
"Longhi, Nijkamp & Poot 2005 — A Meta-Analytic Assessment of the Effect of Immigration on Wages (JES)",pro,10.1111/j.0950-0804.2005.00255.x,4acf1bf8f74ca3bc70a5b229bd6cb30300f2e775,441,392,2026-09-17,"S2 count is the SSRN 634622 record; published DOI returns NULL on S2 [DEGRADED]"
"Dustmann & Frattini 2014 — The Fiscal Effects of Immigration to the UK (EJ)",pro-fiscal,10.1111/ecoj.12181,d95974e9c48cb4809b1576b2d8772b1e1d21dc59,422,522,2026-09-17,""
"Foged & Peri 2016 — Immigrants' Effect on Native Workers (AEJ Applied)",pro,10.1257/app.20150114,4a7f74115fd8824a53d953e9d5f214e4ffcf3a20,372,330,2026-09-17,""
"Dustmann, Schoenberg & Stuhler 2016 — The Impact of Immigration: Why Do Studies Reach Such Different Results? (JEP)",method,10.1257/jep.30.4.31,52b5df7c71ae0358450fc7164fb96e6afa43502c,367,410,2026-09-17,""
"Abramitzky & Boustan 2017 — Immigration in American Economic History (JEL)",pro,10.1257/jel.20151189,431028d89b6c14c726200038da70a6098bbfc3e9,275,306,2026-09-17,""
"Clemens, Lewis & Postel 2018 — Immigration Restrictions as Active Labor Market Policy (AER)",pro,10.1257/aer.20170765,51cce2bf003c91465af768cf224b7db25971420f,219,232,2026-09-17,""
"Clemens & Hunt 2019 — The Labor Market Effects of Refugee Waves (ILRR)",pro,10.1177/0019793918824597,c5fabfb72770feb3c55f9a59ee2aacd3cb95654b,147,113,2026-09-17,"S2 count is the NBER w23433 record; published DOI returns NULL on S2 [DEGRADED]"
"Peri & Yasenov 2019 — The Labor Market Effects of a Refugee Wave (JHR)",pro,10.3368/jhr.54.2.0217.8561R1,0355e5bea3cb16a7b7227458ff247d162a35804b,70,143,2026-09-17,""
"Borjas 2003 — The Labor Demand Curve Is Downward Sloping (QJE)",con,10.1162/003355303322552810,,,1889,2026-09-17,"S2 has NO consolidated record: only stubs at 3 and 1 citations. S2 count UNAVAILABLE [DEGRADED]; OpenAlex used for rank"
"Friedberg & Hunt 1995 — The Impact of Immigrants on Host Country Wages, Employment and Growth (JEP)",survey,10.1257/jep.9.2.23,a2a13e1933fb2d31498c4063a7794706104149c6,770,1129,2026-09-17,"S2 count is an untitled-DOI stub record [DEGRADED]"
"Borjas, Freeman & Katz 1997 — How Much Do Immigration and Trade Affect Labor Market Outcomes? (BPEA)",con,10.2307/2534701,b385af217e040ef0dff73ff475e3ad14c9eb7f96,977,896,2026-09-17,""
"Borjas 1994 — The Economics of Immigration (JEL)",con,10.4324/9781315054193-1,,910,,2026-09-17,"S2 count attached to a reprint-chapter DOI"
"Borjas 1999 — Immigration and Welfare Magnets (JOLE)",con,10.1086/209933,00a65958f563b2ff7b5f218cbf9d47a7c2c28b9c,848,539,2026-09-17,""
"Borjas 2006 — Native Internal Migration and the Labor Market Impact of Immigration (JHR)",con,10.3368/jhr.XLI.2.221,7caf5de9b51fb6eb936e8c5bd947df68bd597af2,613,447,2026-09-17,""
"Manacorda, Manning & Wadsworth 2012 — The Impact of Immigration on the Structure of Wages (JEEA)",pro,10.1111/j.1542-4774.2011.01049.x,6303f208201db9ed83761d0ca994761bee261b30,116,568,2026-09-17,"S2 record fragmented low; OpenAlex 568"
"Borjas 1996 — Searching for the Effect of Immigration on the Labor Market (NBER w5454 / AER P&P)",con,10.3386/w5454,,545,,2026-09-17,""
"Jaeger, Ruist & Stuhler 2018 — Shift-Share Instruments and the Impact of Immigration (NBER w24285)",method-con,10.3386/w24285,18f24311b4d0340bf10d9ca63b5053972b46ac10,374,,2026-09-17,""
"Dustmann, Schoenberg & Stuhler 2017 — Labor Supply Shocks, Native Wages, and the Adjustment of Local Employment (QJE)",con,10.1093/qje/qjw032,a65d5b90183ff3a66c3ba081b61c2513f089472b,302,276,2026-09-17,""
"National Academies 2016 — The Economic and Fiscal Consequences of Immigration",fiscal-both,10.17226/23550,b22252d1a94f483f1f0e7985e50c207ce18fed0f,252,291,2026-09-17,""
"Borjas 2017 — The Wage Impact of the Marielitos: A Reappraisal (ILRR)",con,10.1177/0019793917692945,dc8bf11b894bdfc1cf32c61419ebedfe35ab95a2,168,160,2026-09-17,""
"Monras 2020 — Immigration and Wage Dynamics: Evidence from the Mexican Peso Crisis (JPE)",con,10.1086/707764,b0425c5cbf04e5a182dd6418205f586cf69eeb9a,142,193,2026-09-17,""
"Edo 2019 — The Impact of Immigration on the Labor Market (JES survey)",survey,10.1111/joes.12300,6025d8963c64d430eed26abb4cca7c10624f9b5c,109,127,2026-09-17,""
"Borjas, Grogger & Hanson 2012 — Comment: On Estimating Elasticities of Substitution (JEEA)",con,10.1111/j.1542-4774.2011.01055.x,e34170d5120f099230fe07632ef0c38c3fbb6af7,110,96,2026-09-17,""
"Card 2012 — Comment: The Elusive Search for Negative Wage Impacts of Immigration (JEEA)",pro,10.1111/j.1542-4774.2011.01057.x,570dc80d951c782dae83d115d6db1a1fab31af0f,52,49,2026-09-17,""
"Smith & Edmonston (eds) 1997 — The New Americans (NRC)",fiscal-both,10.17226/5779,b97c0e7d02dc27d1360d3633bb21465efa308cb5,3,8,2026-09-17,"Both indexes fragment the book; counts are not usable [DEGRADED]"
"Colas & Sachs 2024 — The Indirect Fiscal Benefits of Low-Skilled Immigration (AEJ Policy)",pro-fiscal,10.1257/pol.20220176,,,6,2026-09-17,"Recent; low count expected"
"Goldsmith-Pinkham, Sorkin & Swift 2020 — Bartik Instruments: What, When, Why, and How (AER)",method,10.1257/aer.20181047,e4da35778c869be2e3b893183b384a51734f6444,2056,2438,2026-09-17,"Methodological reference, not an immigration paper"
"Camarota / Center for Immigration Studies — most-cited item",con-advocacy,,b728e64ee125e6e3e667a248eb3547f289a7184e,18,,2026-09-17,"VERIFIED NEGATIVE: no CIS/Heritage item appears with a scholarly citation footprint; top hit is an 18-citation CIS backgrounder"
