spec,unit,parameters,source,population
"CRY place effect by education, conditional on college share [central]",log CZ workers; 0.020/0.043 x (conditional/pooled 0.0254/0.034),0.02541 (0.0021527944510913383),"Card-Rothstein-Yi 2023 Table 10, scaled by this lane's joint regression on the public CZ file","US, 691 CZs, LEHD 2010-2018 [INFERENCE: equal proportional conditioning by education]"
"CRY place effect, pooled, conditional on college share",log CZ workers,0.02541 (0.0021527944510913383),this lane's WLS of CRY psi_acspredict on log size and share with some college (HC1),"US, 691 CZs, LEHD 2010-2018"
"CRY place effect by education, unconditional",log CZ workers,0.02 (0.002); 0.043 (0.003),"Card-Rothstein-Yi 2023 Table 10 cols 1, 3","US, 691 CZs, LEHD 2010-2018"
"CRY place effect, pooled, unconditional",log CZ workers,0.034 (0.003),Card-Rothstein-Yi 2023 Table 3 col 2,"US, 691 CZs, LEHD 2010-2018"
CRY raw earnings gradient (sorting not removed),log CZ workers,0.075 (0.008),Card-Rothstein-Yi 2023 Table 3 col 2 row 1,"US, 691 CZs, LEHD 2010-2018"
A&P recommended density elasticity (+-1.96 SD of estimates),log density = log persons at fixed area,0.04 (0.04),"Ahlfeldt-Pietrostefani 2019 Table 6; SD 0.04 across 47 estimates (a spread, not an SE)","347 estimates, mostly high-income countries; area-based, includes sorting"
"A&P net of sorting (half), fixed area",log persons at fixed area,0.02 (None),"A&P 2019: 'net of selection effects, elasticity estimates about halve'; Combes-Gobillon 2015 ~0.02","worker fixed-effect studies, France, Spain, Italy, UK, Netherlands"
A&P density with area scaling (0.04 x 0.43),"log persons, density elasticity to size 0.43",0.0172 (None),A&P 0.04 x their city-size elasticity of density 0.43,[INFERENCE: area shrinks with population]
A&P net of sorting with area scaling (0.02 x 0.43),log persons,0.0086 (None),0.02 x 0.43,[INFERENCE]
De la Roca-Puga static plus seven years' learning,log persons,0.049 (None),"Combes-Gobillon 2015 p. 53, De la Roca-Puga","Spain, worker panel"
"Ciccone-Peri scale term, Table 4 col 2",log city employment,0.081 (0.027),"Ciccone-Peri 2006 REStud Table 4 col 2 (2SLS, constant-composition wages)","163 US cities, 1970-1990"
"Ciccone-Peri scale term, Table 4 col 1",log city employment,0.16 (0.06),Ciccone-Peri 2006 Table 4 col 1,"163 US cities, 1970-1990"
Glaeser-Resseger size effect varying with BA share,log population; 0.022 + 0.196 (BA share - mean),0.022 (0.012); 0.196 (0.113),"Glaeser-Resseger 2010 Table 1 col 3 (individual log income, education controls)","US MSAs, 2000 census [INFERENCE: demeaned at 2024 population-weighted mean]"
CRY pooled on the group's share of BA workers only,log BA+ workers,0.034 (0.003),0.034 applied to the group's share of BA+ workers,[INFERENCE: only skilled mass agglomerates]
"Ciccone-Peri city, Table 4 col 2",per year of workers' mean schooling,-0.004 (0.017),Ciccone-Peri 2006 Table 4 col 2 (2SLS),"163 US cities, 1970-1990"
"Ciccone-Peri city, Table 4 col 1",per year of workers' mean schooling,0.014 (0.03),Ciccone-Peri 2006 Table 4 col 1,"163 US cities, 1970-1990"
"Ciccone-Peri city, Table 4 col 4 (experience control)",per year of workers' mean schooling,-0.01 (0.018),Ciccone-Peri 2006 Table 4 col 4,"163 US cities, 1970-1990"
"Ciccone-Peri city, white males, Table 5 col 2",per year of workers' mean schooling,-0.001 (0.021),Ciccone-Peri 2006 Table 5 col 2,"163 US cities, 1970-1990"
"Acemoglu-Angrist state IV (QOB, CA and CL)",per year of workers' mean schooling,0.004 (0.035),Acemoglu-Angrist 1999 (w7444) Table 6 col 3,"US states, white men 40-49, 1960-80"
Acemoglu-Angrist state IV (QOB and CA),per year of workers' mean schooling,0.017 (0.043),Acemoglu-Angrist 1999 Table 6 col 2,"US states, white men 40-49, 1960-80"
"Iranzo-Peri basic, Table 8 col 1","per year of schooling of SC+ (HS-or-less) workers per worker, their definition",0.06 (0.025); -0.01 (0.01),Iranzo-Peri 2009 (w12440) Table 8 col 1 (2SLS),"US states, 1970-2000"
"Iranzo-Peri 1980-2000, Table 8 col 5","per year of schooling of SC+ (HS-or-less) workers per worker, their definition",0.12 (0.04); 0.01 (0.03),Iranzo-Peri 2009 Table 8 col 5,"US states, 1980-2000"
"Iranzo-Peri sector-demand control, Table 9 col 4","per year of schooling of SC+ (HS-or-less) workers per worker, their definition",0.11 (0.04); -0.01 (0.02),Iranzo-Peri 2009 Table 9 col 4,"US states, 1970-2000"
"Iranzo-Peri basic, read as years beyond 12 per worker",per year beyond 12 (up to 12) per worker,0.06 (0.025); -0.01 (0.01),"Iranzo-Peri 2009 Table 8 col 1, the reading their text compares with Moretti",[INFERENCE: not their variable; their Table 6 first stages imply ~17 years per college worker]
