state,year,agency_id,ori,pub_agency_name,agency_type_name,population,months,n_known_all,rec_rate,nibrs_off_eth_start_date,comp_source,covered_pop,victimisations_violent
TX,2022,18753,TX0010100,Palestine,City,19113,12,1067.0000,0.9288,2017-12-01,place,19113.0000,397.0000
TX,2022,18754,TX0010300,Frankston,City,1117,12,165.0000,0.9515,2016-10-01,place,1117.0000,22.0000
TX,2022,18756,TX0020000,Andrews,County,5147,12,78.0000,0.2949,2022-10-01,county_residual,5147.0000,3.0000
TX,2022,18757,TX0020100,Andrews,City,13233,12,501.0000,0.9022,2019-07-01,place,13233.0000,143.0000
TX,2022,18758,TX0030000,Angelina,County,40969,12,958.0000,0.8831,,county_residual,40969.0000,325.0000
TX,2022,18759,TX0030100,Diboll,City,4466,12,151.0000,0.9669,2019-05-01,place,4466.0000,36.0000
TX,2022,18760,TX0030200,Huntington,City,2020,11,28.0000,1.0000,2019-02-01,place,1851.6667,18.0000
TX,2022,18761,TX0030400,Lufkin,City,34063,12,1951.0000,0.9769,2020-06-01,place,34063.0000,644.0000
TX,2022,18762,TX0031100,Zavalla,City,610,12,22.0000,1.0000,2022-03-01,place,610.0000,4.0000
TX,2022,18764,TX0040000,Aransas,County,12235,12,212.0000,0.9528,,county_residual,12235.0000,79.0000
TX,2022,18765,TX0040100,Aransas Pass,City,8056,12,513.0000,0.9435,2020-08-01,place,8056.0000,177.0000
TX,2022,18766,TX0040200,Rockport,City,10759,12,385.0000,0.0000,,place,10759.0000,130.0000
TX,2022,18768,TX0050100,Archer City,City,1593,11,39.0000,1.0000,2018-12-01,place,1460.2500,3.0000
TX,2022,18770,TX0060000,Armstrong,County,1842,11,33.0000,0.9697,2019-08-01,county_residual,1688.5000,13.0000
TX,2022,18771,TX0070000,Atascosa,County,29266,12,725.0000,0.9476,2019-06-01,county_residual,29266.0000,321.0000
TX,2022,18772,TX0070100,Lytle,City,3037,12,107.0000,0.9813,2018-07-01,place,3037.0000,20.0000
TX,2022,18773,TX0070200,Pleasanton,City,10951,12,521.0000,0.9808,2019-09-01,place,10951.0000,182.0000
TX,2022,18774,TX0070300,Poteet,City,2970,12,71.0000,0.9859,2023-04-01,place,2970.0000,35.0000
TX,2022,18775,TX0070400,Jourdanton,City,4179,12,116.0000,0.9310,2021-09-01,place,4179.0000,33.0000
TX,2022,18776,TX0080000,Austin,County,18749,12,334.0000,0.8653,,county_residual,18749.0000,76.0000
TX,2022,18777,TX0080100,Bellville,City,4066,12,147.0000,0.8980,2017-12-01,place,4066.0000,47.0000
TX,2022,18778,TX0080200,Sealy,City,6720,12,184.0000,0.9783,2019-01-01,place,6720.0000,28.0000
TX,2022,18779,TX0080700,Wallis,City,1302,6,10.0000,0.8000,2019-05-01,place,651.0000,2.0000
TX,2022,18781,TX0090000,Bailey,County,1786,12,37.0000,1.0000,2019-07-01,county_residual,1786.0000,6.0000
TX,2022,18782,TX0090100,Muleshoe,City,5066,12,87.0000,0.9655,2018-11-01,place,5066.0000,29.0000
TX,2022,18783,TX0100000,Bandera,County,22292,12,299.0000,0.5987,2019-05-01,county_residual,22292.0000,87.0000
