cohort,survey,spec,sex,rule,ref_censuses,n,wN,clamped_share,position,ridit,ridit_se,bins,q1,q1_se,q2,q2_se,q3,q3_se,q4,q4_se,q5,q5_se,mig_c1_none_primary_incomplete,mig_c1_none_primary_incomplete_se,mex_c1_none_primary_incomplete,diff_c1_none_primary_incomplete,diff_c1_none_primary_incomplete_se,mig_c2_primary,mig_c2_primary_se,mex_c2_primary,diff_c2_primary,diff_c2_primary_se,mig_c3_lower_secondary,mig_c3_lower_secondary_se,mex_c3_lower_secondary,diff_c3_lower_secondary,diff_c3_lower_secondary_se,mig_c4_upper_secondary,mig_c4_upper_secondary_se,mex_c4_upper_secondary,diff_c4_upper_secondary,diff_c4_upper_secondary_se,mig_c5_tertiary,mig_c5_tertiary_se,mex_c5_tertiary,diff_c5_tertiary,diff_c5_tertiary_se
1975-1979,1980,main,P,nearest,2000,17038,340760.00000,0.00000,middle (fewer in both tails),0.55120,0.00232,0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-15 16-16,0.11281,0.00261,0.19139,0.00285,0.22623,0.00288,0.25529,0.00318,0.21427,0.00335,0.39582,0.00434,0.46360,-0.06778,0.00427,0.32046,0.00395,0.24075,0.07971,0.00393,0.10353,0.00249,0.11903,-0.01550,0.00248,0.10060,0.00253,0.06882,0.03178,0.00252,0.07959,0.00225,0.10780,-0.02822,0.00229
1975-1979,1980,main,H,nearest,2000,9491,189820.00000,0.00000,middle (fewer in both tails),0.52109,0.00288,0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-15 16-16,0.13050,0.00358,0.21776,0.00380,0.22727,0.00370,0.24900,0.00416,0.17546,0.00384,0.39174,0.00555,0.42550,-0.03376,0.00543,0.31662,0.00509,0.24226,0.07436,0.00507,0.10768,0.00333,0.12648,-0.01880,0.00330,0.10009,0.00322,0.06431,0.03579,0.00321,0.08387,0.00294,0.14146,-0.05759,0.00297
1975-1979,1980,main,M,nearest,2000,7547,150940.00000,0.00000,"top (fewer at bottom, more at top)",0.58907,0.00304,0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-15 16-16,0.09057,0.00310,0.15822,0.00372,0.22493,0.00410,0.26320,0.00447,0.26308,0.00499,0.40095,0.00579,0.51151,-0.11056,0.00568,0.32529,0.00546,0.23886,0.08644,0.00544,0.09832,0.00345,0.10966,-0.01135,0.00344,0.10123,0.00355,0.07449,0.02674,0.00354,0.07420,0.00306,0.06548,0.00872,0.00307
1975-1979,1980,nearest_or_next_census,P,nearest_or_next,2000,17038,340760.00000,0.00000,middle (fewer in both tails),0.55120,0.00232,0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-15 16-16,0.11281,0.00261,0.19139,0.00285,0.22623,0.00288,0.25529,0.00318,0.21427,0.00335,0.39582,0.00434,0.46360,-0.06778,0.00427,0.32046,0.00395,0.24075,0.07971,0.00393,0.10353,0.00249,0.11903,-0.01550,0.00248,0.10060,0.00253,0.06882,0.03178,0.00252,0.07959,0.00225,0.10780,-0.02822,0.00229
1975-1979,1980,nearest_or_next_census,H,nearest_or_next,2000,9491,189820.00000,0.00000,middle (fewer in both tails),0.52109,0.00288,0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-15 16-16,0.13050,0.00358,0.21776,0.00380,0.22727,0.00370,0.24900,0.00416,0.17546,0.00384,0.39174,0.00555,0.42550,-0.03376,0.00543,0.31662,0.00509,0.24226,0.07436,0.00507,0.10768,0.00333,0.12648,-0.01880,0.00330,0.10009,0.00322,0.06431,0.03579,0.00321,0.08387,0.00294,0.14146,-0.05759,0.00297
1975-1979,1980,nearest_or_next_census,M,nearest_or_next,2000,7547,150940.00000,0.00000,"top (fewer at bottom, more at top)",0.58907,0.00304,0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-15 16-16,0.09057,0.00310,0.15822,0.00372,0.22493,0.00410,0.26320,0.00447,0.26308,0.00499,0.40095,0.00579,0.51151,-0.11056,0.00568,0.32529,0.00546,0.23886,0.08644,0.00544,0.09832,0.00345,0.10966,-0.01135,0.00344,0.10123,0.00355,0.07449,0.02674,0.00354,0.07420,0.00306,0.06548,0.00872,0.00307
1975-1979,1980,ref2010,P,2010,2010,17038,340760.00000,0.00000,middle (fewer in both tails),0.54391,0.00227,0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-15 16-16,0.10980,0.00256,0.20122,0.00289,0.24304,0.00298,0.25149,0.00319,0.19444,0.00322,0.39582,0.00434,0.45355,-0.05773,0.00427,0.32046,0.00395,0.23443,0.08603,0.00393,0.10353,0.00249,0.12106,-0.01753,0.00248,0.10060,0.00253,0.06470,0.03589,0.00252,0.07959,0.00225,0.12625,-0.04666,0.00229
1975-1979,1980,ref2010,H,2010,2010,9491,189820.00000,0.00000,middle (fewer in both tails),0.51751,0.00283,0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-15 16-16,0.12562,0.00350,0.22444,0.00383,0.24241,0.00384,0.24956,0.00423,0.15798,0.00369,0.39174,0.00555,0.42060,-0.02886,0.00543,0.31662,0.00509,0.23375,0.08287,0.00507,0.10768,0.00333,0.12849,-0.02081,0.00330,0.10009,0.00322,0.06271,0.03738,0.00321,0.08387,0.00294,0.15445,-0.07059,0.00298
1975-1979,1980,ref2010,M,2010,2010,7547,150940.00000,0.00000,middle (fewer in both tails),0.57712,0.00297,0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-15 16-16,0.08991,0.00304,0.17203,0.00379,0.24385,0.00424,0.25392,0.00441,0.24028,0.00480,0.40095,0.00579,0.49500,-0.09405,0.00569,0.32529,0.00546,0.23529,0.09000,0.00544,0.09832,0.00345,0.11172,-0.01341,0.00345,0.10123,0.00355,0.06721,0.03402,0.00354,0.07420,0.00306,0.09077,-0.01657,0.00307
1975-1979,1980,ref2020,P,2020,2020,17038,340760.00000,0.00000,middle (fewer in both tails),0.51846,0.00226,0-0 1-5 6-6 7-8 9-9 10-11 12-12 13-13 14-15 16-16,0.13814,0.00248,0.21423,0.00242,0.23979,0.00269,0.23497,0.00300,0.17287,0.00304,0.39582,0.00434,0.43031,-0.03449,0.00426,0.32046,0.00395,0.23820,0.08226,0.00394,0.10353,0.00249,0.12553,-0.02200,0.00248,0.10060,0.00253,0.06903,0.03157,0.00252,0.07959,0.00225,0.13693,-0.05734,0.00229
