id,item,label,delta_bn,se_bn,cell_bn,source,who_runs_it,side,in_practitioner_set
R_all_zero,R,rest of federal budget: all functions zero,92.1514351312079,1.7332362607625609,-125.1649671823416,ledger arms_matrix,"nobody: zeroes veterans' cash, federal pensions and justice, which are records-based, not public goods",lenient,False
R_all_per_capita,R,"rest of federal budget: every netted function per capita, seven zero-in-central functions per capita",-58.499729307308414,1.8376984217249444,-275.8161316208579,ledger arms_matrix,average-cost budget shops that spread every non-entitlement federal function per head,strict,True
R_housing_by_reported_subsidy,R,housing assistance (604) by reported SPM housing subsidy instead of per capita,-0.37329692966690065,0.7684996074898252,-217.6896992432164,ledger arms_matrix,records-based allocation of one subfunction; a refinement of the central,strict,True
C_all_capital,C,corporate income tax 100% to capital income,-8.770419595341247,0.38028583224332674,-226.08682190889076,ledger arms_matrix,the older incidence convention; still a defended arm,strict,True
C_per_capita,C,corporate income tax per capita,49.039599738042966,1.2435013853705907,-168.27680257550654,ledger arms_matrix,nobody: headcount is not an incidence theory,lenient,False
C_consumption,C,corporate income tax proportional to the consumption proxy (borne by consumers),27.051997405449242,0.9555596348112945,-190.26440490810026,this lane: C national x union consumption share from item X,"minority incidence view used in some state tax-incidence studies; disclosed, outside the set",lenient,False
F_per_capita,F,"defense, net interest and general government per capita",-211.65128592925922,1.9577867615056066,-428.9676882428087,ledger arms_matrix,"the average-cost public-goods scenario; a different object (assigned share of fixed federal costs), reported separately",strict,False
F_proportional_to_federal_tax,F,"defense, net interest and general government in proportion to federal taxes paid",-118.46572791227698,3.031821355575947,-335.78213022582645,ledger arms_matrix,benefit-principle variant of the same second object,strict,False
F_defense_per_capita,F,"defense only, net of TRICARE, per capita",-101.60385581988074,0.9398416029873397,-318.92025813343025,this lane: F per capita x OMB 050 share,part of the second object,strict,False
F_net_interest_per_capita,F,"net interest only, per capita",-105.80086512405535,0.9786641842797356,-323.1172674376049,this lane: F per capita x OMB 900 share,part of the second object,strict,False
F_general_government_per_capita,F,"federal general government (function 800) only, per capita",-4.24656498532314,0.039280974238529526,-221.56296729887265,this lane: F per capita x OMB 800 share,average-cost treatment of the smallest F part,strict,False
F_general_government_response,F,federal general government at the cross-state administration elasticity 0.824,-3.4996675241987387,0.03237212908235017,-220.81606983774822,this lane: F(800) per capita x scaling-test admin elasticity (year effects),the measured-response arm the repo proposes for the complete account; small here because state-local administration sits inside G,strict,True
E_stock_only_with_R_zero,E,"enforcement (ICE ERO, EOIR, appropriated USCIS) x Mexico share, only admissible with R all zero",-2.7167781601455996,0.07252420587582664,-220.0331804736951,ledger arms_matrix,CIS-style targeted enforcement charge; the grid admits it only when federal justice is zeroed,strict,False
E_stock_plus_flow_only_with_R_zero,E,"enforcement plus Border Patrol x Mexico share of encounters, only admissible with R all zero",-5.260947111545593,0.14044062081208966,-222.5773494250951,ledger arms_matrix,"same, with the border flow",strict,False
E_targeted_with_R_central,E,enforcement (Mexico share) charged to Mexico-born noncitizens and removed from the per-capita justice charge,-2.3900997422113672,0.07165807985540519,-219.70650205576086,this lane: E stock less the union's headcount slice of the same dollars,the netted version of the CIS arm; the cell the admissibility rule removed,strict,True
G_function_elasticities,G,"general services at cross-state function elasticities (police 1.037, fire 1.085, highways 0.727, parks 0.948, libraries 0.974, administration 0.824; other functions held at 1)",9.54114294695539,0.09052784694864201,-207.77525936659413,this lane: G gross x national function shares x scaling-test year-effect elasticities,"a modeler who lets service budgets follow the measured cross-state size gradient; descriptive, not causal (2026-09-20 decision)",lenient,True
G_interest_like_federal,G,"state-local interest on general debt at zero, the convention item F already applies to federal interest",13.47214846119345,0.1278258381354076,-203.84425385235605,this lane: G gross x Census line 110 share,consistency arm: legacy interest is fixed at both levels or at neither,lenient,True
K_D_school_within_pupil_weighted,"K,D","K-12 capital, school-debt interest and district differential at the within-district pupil-weighted school elasticity 0.836",4.187956512952492,0.08069722084191822,-213.128445800597,this lane: (K + D) x scaling-test within-district elasticity,the CBO-type school response applied to the school items this ledger holds on its dial,lenient,True
K_D_school_within_unweighted,"K,D",same at the unweighted within-district elasticity 0.735,6.742145236034743,0.12991357034818243,-210.57425707751477,this lane: (K + D) x scaling-test within-district elasticity,"same, lower bound",lenient,False
