outcome,n,estimator,coef,se,F,hansen_p,note,lo,hi
first stage,334,dX on Z,0.15296841468112732,0.028361494765078696,29.090105698792776,,,0.09737988494157307,0.20855694442068157
first stage,334,dX on Z2,0.31472532904053985,0.039362983931631616,63.92744785879426,,,0.23757388053454187,0.3918767775465378
dlog_rent,334,OLS,0.018587561746237505,0.0063186475434809245,,,,0.006203012561014893,0.030972110931460115
dlog_rent,334,OLS + 2000 level,0.019498708490778158,0.006763988058253653,,,,0.006241291896600998,0.03275612508495532
dlog_rent,334,reduced form on Z,0.011867317771033793,0.002525195461364707,,,,0.006917934666758967,0.016816700875308618
dlog_rent,334,IV with Z,0.07758018409075529,0.019383907452644296,,,,0.03958772548357247,0.1155726426979381
dlog_rent,334,IV with Z + 2000 level,-2.7180103355713072,25.906696967255,,,,-53.49513639139111,48.05911572024849
dlog_rent,334,reduced form on Z2,0.00428685439754667,0.004716341876886523,,,,-0.0049571756811509155,0.013530884476244256
dlog_rent,334,IV with Z2,0.013620938647093128,0.01437383185000865,,,,-0.014551771778923826,0.04179364907311008
dlog_rent,334,IV with Z2 + 2000 level,0.003941867140099475,0.029091081904619464,,,,-0.05307665339295467,0.06096038767315362
dlog_rent,334,IV with Z+Z2,0.011028278193411234,0.014607605482346173,,0.0006166230035762332,,-0.017602628551987264,0.03965918493880973
dlog_rent,334,IV with Z+Z2 + 2000 level,-0.03904588297980638,0.045922366804999136,,0.001202701299166553,,-0.12905372191760467,0.050961955957991925
dlog_rent,223,"IV with Z2, elastic metros (dX)",0.015430211657710302,0.01828064840065358,,,median elasticity 1.61,-0.020399859207570717,0.05126028252299132
dlog_rent,223,"IV with Z2, extra effect in inelastic metros (dX x inelastic)",-0.023055405128397766,0.03870279810446101,,,median elasticity 1.61,-0.09891288941314134,0.05280207915634581
dlog_rent,223,"first stage, interaction spec: dX_inel on Z2_inel",0.25810819178195044,0.07021056097016116,,,,0.12049549228043455,0.3957208912834663
dlog_value,334,OLS,0.07355585525109629,0.015584981270645339,,,,0.04300929196063143,0.10410241854156115
dlog_value,334,OLS + 2000 level,0.05726686894564805,0.016224910597058554,,,,0.025466044175413288,0.08906769371588281
dlog_value,334,reduced form on Z,0.044376217073036794,0.004545919617818017,,,,0.03546621462211348,0.05328621952396011
dlog_value,334,IV with Z,0.2901005228140807,0.05151794774161183,,,,0.18912534524052155,0.3910757003876399
dlog_value,334,IV with Z + 2000 level,0.4443728934204785,0.2589922695292117,,,,-0.06325195485677648,0.9519977416977334
dlog_value,334,reduced form on Z2,0.036460111436906514,0.009382551372293105,,,,0.018070310747212028,0.054849912126601
dlog_value,334,IV with Z2,0.11584740112293224,0.028687457755652082,,,,0.05961998392185416,0.1720748183240103
dlog_value,334,IV with Z2 + 2000 level,0.057397361813663395,0.02803064050372478,,,,0.0024573064263628264,0.11233741720096396
dlog_value,334,IV with Z+Z2,0.10878385347778297,0.028792736871213743,,1.4321255688121148e-05,,0.05235008921020403,0.1652176177453619
dlog_value,334,IV with Z+Z2 + 2000 level,0.0510582805810742,0.02809680070154708,,0.000901217170414137,,-0.004011448793958074,0.10612800995610647
dlog_value,223,"IV with Z2, elastic metros (dX)",0.09155456704025955,0.034215875058946035,,,median elasticity 1.61,0.02449145192472532,0.15861768215579378
dlog_value,223,"IV with Z2, extra effect in inelastic metros (dX x inelastic)",0.008722677939385193,0.062223782623844516,,,median elasticity 1.61,-0.11323593600335005,0.13068129188212044
dlog_value,223,"first stage, interaction spec: dX_inel on Z2_inel",0.25810819178195044,0.07021056097016116,,,,0.12049549228043455,0.3957208912834663
