city,s1980,s1990,s2000,dln_1980_2000,dln_1990_2000
Atlanta,0.38,0.84,3.23,2.1400661634962708,1.346835524379343
Baltimore,0.76,0.44,0.67,-0.12604072089536494,0.42050298547270487
Boston,3.53,2.71,2.62,-0.29812355317219974,-0.03377431711860404
Chicago,4.99,5.09,5.86,0.160713693825494,0.14087177302649
Cincinnati,0.44,0.23,0.34,-0.2578291093020997,0.3908663086870118
Cleveland,1.82,0.89,0.65,-1.0296194171811581,-0.31424909983650273
Dallas,2.13,5.17,8.63,1.3991225253740032,0.512371816574999
Denver,1.18,1.42,4.13,1.252762968495368,1.067620535359772
Detroit,1.76,0.93,1.35,-0.2652092165997223,0.3726752852851735
Houston,3.96,7.03,9.21,0.8440458250008265,0.270103144444642
Kansas City,0.58,0.47,1.44,0.9093702890295813,1.119665697865942
Los Angeles,11.64,15.9,15.09,0.25958483047646563,-0.0522868364464283
Miami,15.13,14.44,11.36,-0.28658111450725937,-0.23990372017167483
Milwaukee,1.07,0.84,1.54,0.36412376795172297,0.6061358035703156
Minneapolis,0.49,0.37,1.43,1.0710243321492807,1.3519267176156828
New Orleans,1.2,1.13,1.08,-0.10536051565782616,-0.04525659158812072
New York City,8.91,7.82,8.15,-0.08915631422994653,0.04133337269555163
Philadelphia,1.39,0.91,1.06,-0.2710348390186244,0.15257958759521717
Portland,1.03,1.53,3.27,1.1552311826676176,0.759522249504818
St. Louis,0.49,0.24,0.53,0.07847161544149531,0.7922380832041763
San Diego,4.59,5.92,6.34,0.3229987443766807,0.06854231955322014
San Francisco,4.4,6.73,6.19,0.3413305457722892,-0.08364005696013176
Seattle,1.22,1.0,1.94,0.4638371143300716,0.6626879730752367
Tampa,1.5,1.69,2.15,0.36000273403140703,0.24073931320458938
"Washington, DC",1.61,2.52,3.76,0.8481847784054313,0.4001600558784711
