paper,doi,corpus_id,population,outcome,estimate,text,parse
Monras JPE 2020,10.1086/707764,doi_10_1086_707764,"US cities, Mexican peso-crisis inflow, low-skill",native low-skill wages; rents; long-run housing,short run wages down and rents up; long run lower house prices where immigrants enter construction,"In the short run, high-immigration locations see their low-skilled labor force increase, native low-skilled wages decrease, and the relative price of rentals increase. ... lasting consequences are a) worse labor market conditions for low-skilled natives who entered the labor force in high-immigration years, and b) lower housing prices in high-immigrant locations",pymupdf4llm
Burstein Hanson Tian Vogel Econometrica 2020,10.3982/ecta16196,doi_10_3982_ecta16196,US commuting zones 1980-2012,native employment by tradability,crowd-out in nontradable immigrant-intensive jobs; no such effect across tradable occupations,"a local influx of immigrants crowds out employment of native-born workers in more relative to less immigrant-intensive nontradable jobs, but has no such effect across tradable occupations",pymupdf4llm
Llull JHR 2018,10.3368/jhr.53.3.0315-7032r2,doi_10_3368_jhr_53_3_0315_7032r2,"US and Canada, native men, skill cells",wage elasticity,Sub-sample 2SLS elasticities average around minus one,"For U.S. and Canada, Sub-Sample 2SLS elasticities average around minus one, very stable across alternative specifications and different instruments.",pymupdf4llm
Lin Weiss Demography 2019,10.1007/s13524-019-00828-9,doi_10_1007_s13524_019_00828_9,US wage distribution,"association, not a shock design",low-skill immigrant presence with losses at the bottom; foreign-born presence with gains at the top,"an increased presence of low-skilled immigrants is associated with losses at the lower end of wage distribution ... the presence of foreign-born workers, whether high- or low-skilled, is associated with substantial gains for high-wage natives",pymupdf4llm
Caiumi Peri NBER w32389 2024,10.3386/w32389,doi_10_3386_w32389,US natives 2000-2019 and 2019-2022,wages of less-educated natives; employment,"+1.7 to +2.6% wages of less-educated natives, 2000-2019; no significant wage effect on college-educated natives; positive employment-rate effect","immigration ... had a positive and significant effect between +1.7 to +2.6% on wages of less educated native workers, over the period 2000-2019 and no significant wage effect on college educated natives. We also calculate a positive employment rate effect for most native workers.",pymupdf4llm
Clemens Lewis NBER w30589 2022/2024,10.3386/w30589,doi_10_3386_w30589,"US firms in the 2021-22 H-2B lottery, low-skill nonfarm","production, investment, profit, native employment",production elasticity 0.20-0.22; investment 1.5-2.1; profit rate 0.15; native employment zero or positive,"Firms exogenously authorized to employ more immigrants in low-skill jobs significantly increase production (elasticity 0.20–0.22), investment (1.5–2.1), and the rate of profit (0.15). ... the effect on native employment is zero or positive overall, and positive in rural areas.",pymupdf4llm
Borjas Cassidy Labour Economics 2019,10.1016/j.labeco.2019.101757,doi_10_1016_j_labeco_2019_101757,"undocumented vs legal immigrants, not vs US-born",log hourly wage gap,unadjusted gap over 35%; male penalty about 4% in 2016 after observables,"the unadjusted gap in the log hourly wage between the average undocumented and legal immigrant is very large (over 35%), almost all of this gap disappears once the calculation adjusts for differences in observable socioeconomic characteristics. The wage penalty to undocumented immigration for men was only about 4% in 2016.",pymupdf4llm
Wilson Zhou Dallas Fed wp2607 2026,10.24149/wp2607,doi_10_24149_wp2607,"unauthorized worker flows, US local markets, early 2021 to early 2024","employment, wages, house prices, rents, transfers",employment +0.96% per 1% of initial employment; wages about -1 and imprecise; house prices +2.2%; rents +1.4%; transfers -4.5%,"an increase in UIWF equal to 1% of initial employment increases local employment by 0.96% ... effect of UIWF on average weekly wages is roughly -1, but is imprecisely estimated. ... increased local house prices by 2.2% and increased local rents by 1.4%. ... reduction in government transfers of -4.5%",pymupdf4llm
Clemens Lewis Postel AER 2018,10.1257/aer.20170765,doi_10_1257_aer_20170765,"Bracero exclusion, Mexican farm workers, US states",farm wages and employment,fail to reject zero labor-market impact,"We fail to reject zero labor market impact, inconsistent with this model.",marker-modal
Dee Murphy AERJ 2019,10.3102/0002831219860816,doi_10_3102_0002831219860816,"Hispanic public-school students, ICE partnerships",enrollment,"-10% Hispanic students within 2 years; more than 300,000 displaced before 2012; no effect on non-Hispanic enrollment","local ICE partnerships reduce the number of Hispanic students by 10% within 2 years. We estimate partnerships enacted before 2012 displaced more than 300,000 Hispanic students.",pymupdf4llm
Piyapromdee RESTUD 2020,10.1093/restud/rdaa029,doi_10_1093_restud_rdaa029,"US spatial model, skill-selective policy counterfactual",welfare,"gains for low-skill workers, losses for high-skill workers, larger for incumbent high-skill immigrants","a skill selective immigration policy leads to welfare gains for low skill workers, but welfare losses for high skill workers. The negative impacts are more substantial among the incumbent high skill immigrants.",pymupdf4llm
Clemens Hunt ILRR 2019,10.1177/0019793918824597,doi_10_1177_0019793918824597,"Mariel and other refugee waves, CPS subsamples",native wages,Mariel conflict is a Miami racial-composition break in small CPS cells; large losses for less-than-high-school workers not substantiated,contradictory findings on the effects of the Mariel Boatlift can be explained by a large difference in the pre- and post-Boatlift racial composition in certain very small subsamples ... fails to substantiate claims of large detrimental effects on workers with less than a high school education.,pymupdf4llm
Cox East NBER w35129 2026,10.3386/w35129,doi_10_3386_w35129,"ICE arrest surge, Trump second term, local areas",work of likely undocumented; US-born employment,US-born employment-rate point estimates negative and not significant; rules out gains above 0.3 percentage points in impacted sectors; male employment rate -2.8 and -3.5 percentage points,"The point estimates on the overall U.S.-born employment rate are negative, but not statistically significant; we rule out increases in likely impacted sectors of more than 0.3 percentage points ... a significant reduction in the male employment rate of 2.8 and 3.5 percentage points, across all and high-impact sectors, respectively.",pymupdf4llm
Amuedo-Dorantes Arenas-Arroyo Mahajan Schmidpeter IZA DP 16438,10.2139/ssrn.4568747,doi_10_2139_ssrn_4568747,"US firms, H-2B low-wage visas","revenue, survival, employment",higher revenue and survival; no crowd-out of other employment; no negative competitor spillover,access to H-2B workers raises firms’ annual revenues and survival likelihood without crowding out other forms of employment. We do not find evidence of negative spillover effects on competitor firms.,pymupdf4llm
