post_url,date,author,claim_text,claim_type,object,axis,quoted_source,candidate_failure_mode,notes
https://marginalrevolution.com/marginalrevolution/2003/10/latino_assimila.html,2003-10-14,Tyler Cowen,"“The biggest difference is that we’re shifting from a process where the largest component is Spanish-speaking immigrants — where language and immigration status were two enormous questions — to growth of a population that is English-speaking and native-born,” said Roberto Suro, the Pew center’s director.",assimilation,all immigrants,unstated,Pew,none-apparent,quoted-block; auto-extracted; failure-mode=keyword-flag (not adjudicated); score=1
https://marginalrevolution.com/marginalrevolution/2003/10/remittance_fact.html,2003-10-27,Tyler Cowen,"This sum is twice the value of Mexico’s agricultural exports, and over a third more than tourist revenue.",fiscal,Mexican-origin,unstated,,none-apparent,author-voice; auto-extracted; failure-mode=keyword-flag (not adjudicated); score=3
https://marginalrevolution.com/marginalrevolution/2003/12/who_are_the_uni.html,2003-12-04,Tyler Cowen,"Hispanics have by far the lowest rates of being insured, here are some visuals. 41 percent of adult Hispanics are uninsured, of course many of these are recent immigrants, Hispanics as a whole account for over 12 percent of national population.",other,all immigrants,national average,CBO,none-apparent,author-voice; auto-extracted; failure-mode=keyword-flag (not adjudicated); score=4
https://marginalrevolution.com/marginalrevolution/2003/12/who_are_the_uni.html,2003-12-04,Tyler Cowen,"In fact I suspect that national health insurance would, in the long run, lead to fiscal pressures to limit immigration, thus damaging the health of potential immigrants.",fiscal,all immigrants,national average,CBO,none-apparent,author-voice; auto-extracted; failure-mode=keyword-flag (not adjudicated); score=3
https://marginalrevolution.com/marginalrevolution/2003/12/who_are_the_uni.html,2003-12-04,Tyler Cowen,Immigrants who arrived between 1994 and 1998 and their children accounted for an astonishing 59 percent or 2.7 million of the growth in the size of the uninsured population since 1993.,other,all immigrants,unstated,CBO,none-apparent,quoted-block; auto-extracted; failure-mode=keyword-flag (not adjudicated); score=2
https://marginalrevolution.com/marginalrevolution/2003/12/who_are_the_uni.html,2003-12-04,Tyler Cowen,The total uninsured population is one-third larger (32.7 million versus 44.3 million) when the 11.6 million persons in immigrant households without insurance are counted.,other,all immigrants,unstated,CBO,none-apparent,quoted-block; auto-extracted; failure-mode=keyword-flag (not adjudicated); score=2
https://marginalrevolution.com/marginalrevolution/2003/12/who_are_the_uni.html,2003-12-04,Tyler Cowen,"In 1998, 37 percent of immigrants who entered in the 1980s still had not acquired health insurance, and 27.2 percent of 1970s immigrants were uninsured.",other,all immigrants,unstated,CBO,none-apparent,quoted-block; auto-extracted; failure-mode=keyword-flag (not adjudicated); score=2
https://marginalrevolution.com/marginalrevolution/2003/12/walmart_in_mexi.html,2003-12-07,Tyler Cowen,"Wal-Mart is now the largest private employer in Mexico, with over 100,000 workers on its payroll there.",other,Mexican-origin,unstated,,none-apparent,author-voice; auto-extracted; failure-mode=keyword-flag (not adjudicated); score=4
https://marginalrevolution.com/marginalrevolution/2003/12/walmart_in_mexi.html,2003-12-07,Tyler Cowen,"Only the United States has more Wal-Mart outlets (3,499) than does Mexico (633), Britain is next with 266 outlets.",other,Mexican-origin,national average,,none-apparent,author-voice; auto-extracted; failure-mode=keyword-flag (not adjudicated); score=4
https://marginalrevolution.com/marginalrevolution/2003/12/walmart_in_mexi.html,2003-12-07,Tyler Cowen,"Last year Wal-Mart did $11 billion of business a year in Mexico, more than the entire tourism industry.",other,Mexican-origin,unstated,,none-apparent,author-voice; auto-extracted; failure-mode=keyword-flag (not adjudicated); score=4
https://marginalrevolution.com/marginalrevolution/2003/12/walmart_in_mexi.html,2003-12-07,Tyler Cowen,A Wal-Mart cashier in Mexico makes about $1.50 an hour.,other,Mexican-origin,unstated,,none-apparent,author-voice; auto-extracted; failure-mode=keyword-flag (not adjudicated); score=4
https://marginalrevolution.com/marginalrevolution/2004/01/mexican_tax_ref.html,2004-01-01,Tyler Cowen,"Reforming Mexico’s tax system, which is rampant with corruption and inefficiency, has been a pillar of Fox’s agenda since he was elected in 2000.",fiscal,Mexican-origin,unstated,,none-apparent,quoted-block; auto-extracted; failure-mode=keyword-flag (not adjudicated); score=3
https://marginalrevolution.com/marginalrevolution/2004/01/mexican_tax_ref.html,2004-01-01,Tyler Cowen,"Mexico raises less revenue through taxation than nearly any other Latin American country, just 12 percent of its $600 billion gross domestic product.",fiscal,Mexican-origin,unstated,,none-apparent,quoted-block; auto-extracted; failure-mode=keyword-flag (not adjudicated); score=3
https://marginalrevolution.com/marginalrevolution/2004/01/mexican_tax_ref.html,2004-01-01,Tyler Cowen,"Fox has argued that improving tax collection is essential to increasing government investment in such key areas as education, health and welfare programs to alleviate the poverty that afflicts more than half of Mexico’s 100 million people.",fiscal,Mexican-origin,unstated,,none-apparent,quoted-block; auto-extracted; failure-mode=keyword-flag (not adjudicated); score=3
https://marginalrevolution.com/marginalrevolution/2004/01/mexican_tax_ref.html,2004-01-01,Tyler Cowen,"If Mexico wishes to raise more revenue, why not simply eliminate VAT exceptions?",fiscal,Mexican-origin,unstated,,none-apparent,author-voice; auto-extracted; failure-mode=keyword-flag (not adjudicated); score=3
https://marginalrevolution.com/marginalrevolution/2004/01/mexican_tax_ref.html,2004-01-01,Tyler Cowen,Mexico’s low tax collections have been the country’s blessing and curse for many decades.,fiscal,Mexican-origin,national average,,none-apparent,author-voice; auto-extracted; failure-mode=keyword-flag (not adjudicated); score=3
https://marginalrevolution.com/marginalrevolution/2004/02/when_affirmativ.html,2004-02-09,Alex Tabarrok,Hispanics would have seen a 4.2% increase.,other,unclear,unstated,Journal of Medicine,none-apparent,quoted-block; auto-extracted; failure-mode=keyword-flag (not adjudicated); score=2
https://marginalrevolution.com/marginalrevolution/2004/02/where_do_immigr.html,2004-02-19,Tyler Cowen,"A more even spread of immigrants, achieved by voluntary means, will ease California’s fiscal burdens and bring gains from trade to the other states.",fiscal,all immigrants,local,,ledger switching,author-voice; auto-extracted; failure-mode=keyword-flag (not adjudicated); score=3
https://marginalrevolution.com/marginalrevolution/2004/03/lending_america.html,2004-03-06,Tyler Cowen,"Since 2001, Cemex, the cement giant, has allowed Mexicans to pay for bags of cement in the United States that relatives pick up in Mexico to build houses.",other,Mexican-origin,national average,,none-apparent,quoted-block; auto-extracted; failure-mode=keyword-flag (not adjudicated); score=2
https://marginalrevolution.com/marginalrevolution/2004/03/are_hispanic_im.html,2004-03-08,Tyler Cowen,"By 2007, one out of ten small businesses will be Hispanic-owned.",other,unclear,unstated,,none-apparent,author-voice; auto-extracted; failure-mode=keyword-flag (not adjudicated); score=4
https://marginalrevolution.com/marginalrevolution/2004/03/are_hispanic_im.html,2004-03-08,Tyler Cowen,"But according to Richard Alba and Victor Nee’s Remaking the American Mainstream, 60 percent of third-generation Mexican-American children speak only English at home.",assimilation,Mexican-origin,unstated,,none-apparent,quoted-block; auto-extracted; failure-mode=keyword-flag (not adjudicated); score=3
https://marginalrevolution.com/marginalrevolution/2004/03/are_hispanic_im.html,2004-03-08,Tyler Cowen,A 1990 Census study showed that only 5 percent of first-generation Mexican immigrants spoke English at home; another study showed that 30 percent of second-generation Mexican-Americans in Los Angeles spoke English at home.,assimilation,Mexican-origin,unstated,,none-apparent,quoted-block; auto-extracted; failure-mode=keyword-flag (not adjudicated); score=3
https://marginalrevolution.com/marginalrevolution/2004/03/are_hispanic_im.html,2004-03-08,Tyler Cowen,Start with language. [Samuel] Huntington worries that large homogenous enclaves of Hispanics will weaken the incentive to learn English.,assimilation,unclear,unstated,,none-apparent,quoted-block; auto-extracted; failure-mode=keyword-flag (not adjudicated); score=2
https://marginalrevolution.com/marginalrevolution/2004/03/are_hispanic_im.html,2004-03-08,Tyler Cowen,"The key test for this assertion is not whether first-generation Mexican immigrants speak English, but whether second-generation Mexican-Americans speak it.",assimilation,Mexican-origin,unstated,,none-apparent,quoted-block; auto-extracted; failure-mode=keyword-flag (not adjudicated); score=1
