area,persons,group_persons_acs,other_renter_rent,group_renter_rent,other_renter_gross_rent,group_renter_gross_rent,other_renter_households,group_renter_households,other_owner_value,group_owner_value,other_owner_households,title,group_share,saiz_elasticity,saiz_source
10180,182763.12643793138,43685.093528058416,215273312.73382014,65868637.7393218,267181862.72121635,83393874.0810243,16690.852355706713,5444.213764129238,11840182954.026207,1226776724.6173851,36868.20526157847,"Abilene, TX",0.24791918735641605,3.0948513,causal_lane_code
10420,703408.0,7687.0,1039964040.0,14200800.0,1258170564.0,15686184.0,92697.0,987.0,55720332400.0,480510000.0,205158.0,"Akron, OH",0.011334830399769518,2.5854928,causal_lane_code
10500,149496.34104055594,5002.647920747925,217435124.89785782,8138190.480092391,306784130.4051449,10069706.005226998,23682.60631430857,673.378403379662,7885998352.694183,157700593.660134,30710.871682301768,"Albany, GA",0.03470841840210238,3.3922868,causal_lane_code
10540,133831.8187,11933.336800000001,258667827.072,21124681.644,298726352.91,23315713.068,15942.0581,1521.9853,15150613555.880001,402893970.0,32316.2648,"Albany, OR",0.09248428999072508,,none
10580,913582.2165783421,4294.251274872513,2128489443.7772222,8342400.0,2446278905.3118687,9864000.0,140166.1575842416,625.0,103707251545.0455,470219620.5379462,252000.69613038696,"Albany-Schenectady-Troy, NY",0.004875344000558668,1.700388,causal_lane_code
10740,927213.0076,292041.612,1085224464.5279999,450715239.216,1221485557.3248,520610820.01919997,74889.7938,35282.96,72818790957.22,19671079481.84,197201.0282,"Albuquerque, NM",0.3266861102480043,2.11238,causal_lane_code
10780,146493.76143755624,5824.156640515948,164537437.42665973,5510443.6750996895,204655756.7952162,7596113.8915855605,16386.087319918006,941.0636968703129,7920551335.134499,31939796.975327462,38442.71695978402,"Alexandria, LA",0.04123626909648223,7.1480856,causal_lane_code
10900,884647.0,14360.0,1491811704.0,45665760.0,1728134604.0,54797772.0,95956.0,2740.0,89804396800.0,470800000.0,237813.0,"Allentown-Bethlehem-Easton, PA-NJ",0.01683642497276599,1.8622904,causal_lane_code
11020,120301.0926,160.4044,111816747.6192,497989.44,140666882.8656,561562.56,12351.1388,44.148,9268744350.06,3605420.0,37209.406,"Altoona, PA",0.0013829680722074308,2.1776206,causal_lane_code
11100,274505.79307930794,77999.05440544055,344656749.2949295,101470033.25532553,409497915.9519952,124757428.31683168,28233.851485148516,9641.71497149715,16540980401.80018,2750676194.19942,51262.91099109911,"Amarillo, TX",0.294715700054927,3.4720654,causal_lane_code
11180,101739.9775,2479.6784,171591825.732,4450676.58,196122620.1684,7345254.266399999,15652.969899999998,401.217,6589975536.42,67640466.0,23227.317499999997,"Ames, IA",0.025279540188457465,,none
11260,405786.87,17717.3245,810802599.72,18648569.7,899372415.654,20927944.8,46367.426999999996,1181.5815,42923787988.3,2104496792.5,96186.046,"Anchorage, AK",0.045286170523563186,,none
11460,374725.0,9559.0,967364760.0,15614640.0,1073821788.0,18513336.0,53581.0,1195.0,40770112800.0,685045000.0,94623.0,"Ann Arbor, MI",0.026458501375495967,2.2907684,causal_lane_code
